yaw,pitch,m2_class,m2prop_class,flt_m2_class,flt_prop_class,face
-0.11899156395073103,-0.22223316723267406,2.0,2.0,2.0,2.0,1.0
0.09548726168058903,-0.29195702606217716,3.0,3.0,3.0,3.0,1.0
0.20114644460940678,-0.32652881736607253,3.0,3.0,3.0,3.0,1.0
0.24582234551155768,-0.3477286869758134,3.0,3.0,3.0,3.0,1.0
0.35387750018760866,-0.3619328573057371,3.0,3.0,3.0,3.0,1.0
0.4191282261543142,-0.37503372051840267,3.0,3.0,3.0,3.0,1.0
0.4813308576827863,-0.3901058535135087,3.0,3.0,3.0,3.0,1.0
0.528922904392202,-0.4015772438590496,3.0,3.0,3.0,3.0,1.0
0.6429598074760337,-0.4354912975266653,3.0,3.0,3.0,3.0,1.0
0.2129923982349038,-0.5048056409800666,2.0,0.0,3.0,3.0,1.0
-0.11650422277279687,-0.5638424355821225,2.0,0.0,2.0,2.0,1.0
-0.36938539458990177,-0.5575683806232057,0.0,0.0,2.0,2.0,1.0
-0.45425551345380244,-0.5525193328233343,0.0,0.0,2.0,2.0,1.0
-0.5242288503891493,-0.5493387772971764,0.0,0.0,2.0,2.0,1.0
-0.6451424298673629,-0.560155344040572,0.0,0.0,0.0,0.0,1.0
-0.7037727139931802,-0.5662120151325769,1.0,1.0,0.0,0.0,1.0
-0.7321719987728844,-0.5695141353207135,1.0,1.0,0.0,0.0,1.0
-0.6488718461978917,-0.5548599432265859,2.0,2.0,0.0,0.0,1.0
-0.5557280368852721,-0.5608407045725978,2.0,2.0,0.0,0.0,1.0
-0.4672689477505776,-0.5658251750325592,2.0,2.0,2.0,2.0,1.0
-0.46623188752578093,-0.5612437937517161,2.0,2.0,2.0,2.0,1.0
-0.5206068213711424,-0.5325855799305846,0.0,0.0,2.0,2.0,1.0
-0.6256755877273626,-0.551374651352217,0.0,0.0,0.0,0.0,1.0
-0.6939519139216765,-0.561298513242765,1.0,1.0,0.0,0.0,1.0
-0.733564310887657,-0.5514507875007795,0.0,0.0,0.0,0.0,1.0
-0.7653901868081066,-0.5438126596456745,0.0,0.0,0.0,0.0,1.0
-0.8086074060419086,-0.5342542892278316,0.0,0.0,0.0,0.0,1.0
-0.8366802991701826,-0.5162532060559203,0.0,0.0,0.0,0.0,1.0
-0.8760276999426115,-0.5073740975637687,0.0,0.0,0.0,0.0,1.0
-0.9057282898759795,-0.50518990815239,0.0,0.0,0.0,0.0,1.0
-0.9814330412095462,-0.5198204369152639,1.0,1.0,0.0,0.0,1.0
-1.0326846394558442,-0.5334603305451386,1.0,1.0,0.0,0.0,1.0
-1.2623067856121335,-0.5401699285909147,0.0,0.0,0.0,0.0,1.0
-1.2334759015025425,-0.5304324161540279,0.0,0.0,0.0,0.0,1.0
-1.3217125041818605,-0.5342848987968535,0.0,0.0,0.0,0.0,1.0
-1.3129389244438867,-0.5492956109028672,0.0,0.0,0.0,0.0,1.0
-1.1067996418030808,-0.5414264496976527,2.0,2.0,0.0,0.0,1.0
-0.9517201374401516,-0.5327140359506952,2.0,2.0,0.0,0.0,1.0
-0.6165357131590331,-0.5349186955372741,3.0,3.0,0.0,0.0,1.0
-0.5402410317299297,-0.5657501880428796,2.0,2.0,2.0,2.0,1.0
