yaw,pitch,face,class
46.0,35.0,1.0,3.0
45.0,35.0,1.0,3.0
46.0,35.0,1.0,3.0
46.0,35.0,1.0,3.0
46.0,35.0,1.0,3.0
46.0,35.0,1.0,3.0
46.0,35.0,1.0,3.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
46.0,35.0,1.0,3.0
45.0,35.0,1.0,3.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
46.0,35.0,1.0,3.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
46.0,35.0,1.0,3.0
46.0,35.0,1.0,3.0
47.0,31.0,1.0,3.0
47.0,35.0,1.0,3.0
47.0,35.0,1.0,3.0
46.0,35.0,1.0,3.0
46.0,35.0,1.0,3.0
35.0,40.0,1.0,1.0
36.0,40.0,1.0,1.0
46.0,35.0,1.0,3.0
46.0,35.0,1.0,3.0
46.0,35.0,1.0,3.0
35.0,40.0,1.0,1.0
45.0,36.0,1.0,3.0
45.0,36.0,1.0,3.0
45.0,36.0,1.0,3.0
45.0,36.0,1.0,3.0
46.0,36.0,1.0,3.0
46.0,35.0,1.0,3.0
45.0,36.0,1.0,3.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
45.0,35.0,1.0,3.0
44.0,36.0,1.0,3.0
44.0,36.0,1.0,3.0
45.0,35.0,1.0,3.0
46.0,36.0,1.0,3.0
35.0,40.0,1.0,1.0
35.0,40.0,1.0,1.0
45.0,36.0,1.0,3.0
44.0,36.0,1.0,3.0
35.0,40.0,1.0,1.0
35.0,40.0,1.0,1.0
35.0,40.0,1.0,1.0
44.0,36.0,1.0,3.0
45.0,36.0,1.0,3.0
45.0,36.0,1.0,3.0
35.0,40.0,1.0,1.0
35.0,40.0,1.0,1.0
44.0,36.0,1.0,3.0
43.0,36.0,1.0,3.0
37.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
37.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
37.0,38.0,1.0,1.0
42.0,42.0,0.0,4.0
35.0,40.0,1.0,1.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
46.0,36.0,1.0,3.0
44.0,36.0,1.0,3.0
36.0,38.0,1.0,1.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
38.0,38.0,1.0,1.0
37.0,40.0,1.0,1.0
38.0,38.0,1.0,1.0
37.0,40.0,1.0,1.0
38.0,38.0,1.0,1.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
37.0,39.0,1.0,1.0
38.0,38.0,1.0,1.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
36.0,40.0,1.0,1.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
37.0,38.0,1.0,1.0
42.0,42.0,0.0,4.0
38.0,38.0,1.0,1.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
