yaw,pitch,face,class
27.0,39.0,1.0,1.0
26.0,38.0,1.0,1.0
29.0,40.0,1.0,1.0
25.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
23.0,37.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
28.0,38.0,1.0,1.0
28.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
42.0,42.0,0.0,4.0
24.0,38.0,1.0,1.0
42.0,42.0,0.0,4.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
23.0,37.0,1.0,1.0
24.0,38.0,1.0,1.0
23.0,37.0,1.0,1.0
23.0,37.0,1.0,1.0
23.0,37.0,1.0,1.0
23.0,37.0,1.0,1.0
23.0,37.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
27.0,38.0,1.0,1.0
27.0,38.0,1.0,1.0
28.0,38.0,1.0,1.0
28.0,38.0,1.0,1.0
27.0,38.0,1.0,1.0
27.0,38.0,1.0,1.0
27.0,38.0,1.0,1.0
27.0,38.0,1.0,1.0
27.0,38.0,1.0,1.0
27.0,38.0,1.0,1.0
27.0,38.0,1.0,1.0
27.0,38.0,1.0,1.0
27.0,38.0,1.0,1.0
27.0,38.0,1.0,1.0
27.0,38.0,1.0,1.0
27.0,38.0,1.0,1.0
27.0,38.0,1.0,1.0
27.0,38.0,1.0,1.0
27.0,38.0,1.0,1.0
27.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
27.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
27.0,38.0,1.0,1.0
27.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
27.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
27.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
15.0,37.0,1.0,0.0
25.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
20.0,38.0,1.0,0.0
22.0,37.0,1.0,1.0
16.0,37.0,1.0,0.0
15.0,37.0,1.0,0.0
15.0,37.0,1.0,0.0
16.0,37.0,1.0,0.0
13.0,37.0,1.0,0.0
13.0,37.0,1.0,0.0
12.0,36.0,1.0,3.0
12.0,36.0,1.0,3.0
12.0,36.0,1.0,3.0
12.0,36.0,1.0,3.0
12.0,36.0,1.0,3.0
29.0,40.0,1.0,1.0
42.0,42.0,0.0,4.0
44.0,11.0,1.0,3.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
44.0,12.0,1.0,3.0
44.0,12.0,1.0,3.0
44.0,11.0,1.0,3.0
44.0,11.0,1.0,3.0
44.0,11.0,1.0,3.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
21.0,37.0,1.0,0.0
14.0,37.0,1.0,0.0
20.0,37.0,1.0,0.0
20.0,37.0,1.0,0.0
20.0,37.0,1.0,0.0
22.0,37.0,1.0,1.0
17.0,37.0,1.0,0.0
20.0,38.0,1.0,0.0
21.0,37.0,1.0,0.0
21.0,37.0,1.0,0.0
17.0,37.0,1.0,0.0
16.0,37.0,1.0,0.0
22.0,37.0,1.0,1.0
23.0,37.0,1.0,1.0
23.0,37.0,1.0,1.0
23.0,37.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
23.0,37.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
23.0,37.0,1.0,1.0
24.0,38.0,1.0,1.0
23.0,37.0,1.0,1.0
24.0,38.0,1.0,1.0
23.0,37.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
23.0,37.0,1.0,1.0
23.0,37.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
23.0,37.0,1.0,1.0
23.0,37.0,1.0,1.0
25.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
12.0,37.0,1.0,0.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
45.0,13.0,1.0,3.0
45.0,12.0,1.0,3.0
46.0,12.0,1.0,3.0
47.0,12.0,1.0,3.0
48.0,16.0,1.0,3.0
48.0,13.0,1.0,3.0
49.0,13.0,1.0,3.0
50.0,12.0,1.0,3.0
50.0,11.0,1.0,3.0
50.0,11.0,1.0,3.0
50.0,11.0,1.0,3.0
50.0,11.0,1.0,3.0
50.0,11.0,1.0,3.0
49.0,13.0,1.0,3.0
50.0,13.0,1.0,3.0
50.0,13.0,1.0,3.0
49.0,13.0,1.0,3.0
48.0,16.0,1.0,3.0
46.0,13.0,1.0,3.0
46.0,13.0,1.0,3.0
46.0,13.0,1.0,3.0
46.0,13.0,1.0,3.0
46.0,13.0,1.0,3.0
46.0,13.0,1.0,3.0
43.0,41.0,1.0,2.0
43.0,41.0,1.0,2.0
43.0,41.0,1.0,2.0
43.0,41.0,1.0,2.0
43.0,41.0,1.0,2.0
43.0,41.0,1.0,2.0
46.0,13.0,1.0,3.0
44.0,41.0,1.0,2.0
29.0,40.0,1.0,1.0
29.0,40.0,1.0,1.0
32.0,40.0,1.0,1.0
43.0,41.0,1.0,2.0
29.0,40.0,1.0,1.0
29.0,40.0,1.0,1.0
29.0,40.0,1.0,1.0
29.0,40.0,1.0,1.0
29.0,40.0,1.0,1.0
28.0,40.0,1.0,1.0
32.0,40.0,1.0,1.0
32.0,40.0,1.0,1.0
32.0,40.0,1.0,1.0
32.0,39.0,1.0,1.0
32.0,39.0,1.0,1.0
32.0,39.0,1.0,1.0
32.0,39.0,1.0,1.0
29.0,40.0,1.0,1.0
32.0,40.0,1.0,1.0
32.0,40.0,1.0,1.0
32.0,40.0,1.0,1.0
32.0,40.0,1.0,1.0
30.0,40.0,1.0,1.0
30.0,40.0,1.0,1.0
47.0,13.0,1.0,3.0
47.0,12.0,1.0,3.0
47.0,12.0,1.0,3.0
47.0,12.0,1.0,3.0
47.0,13.0,1.0,3.0
49.0,13.0,1.0,3.0
44.0,42.0,1.0,2.0
46.0,13.0,1.0,3.0
25.0,40.0,1.0,1.0
25.0,38.0,1.0,1.0
27.0,40.0,1.0,1.0
27.0,40.0,1.0,1.0
43.0,42.0,1.0,2.0
43.0,42.0,1.0,2.0
43.0,42.0,1.0,2.0
43.0,42.0,1.0,2.0
43.0,42.0,1.0,2.0
43.0,42.0,1.0,2.0
43.0,42.0,1.0,2.0
43.0,42.0,1.0,2.0
43.0,42.0,1.0,2.0
43.0,42.0,1.0,2.0
43.0,42.0,1.0,2.0
43.0,42.0,1.0,2.0
43.0,42.0,1.0,2.0
43.0,42.0,1.0,2.0
43.0,42.0,1.0,2.0
43.0,42.0,1.0,2.0
43.0,42.0,1.0,2.0
32.0,39.0,1.0,1.0
29.0,40.0,1.0,1.0
26.0,38.0,1.0,1.0
23.0,36.0,1.0,3.0
22.0,36.0,1.0,3.0
13.0,35.0,1.0,3.0
29.0,40.0,1.0,1.0
25.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
28.0,40.0,1.0,1.0
29.0,40.0,1.0,1.0
15.0,37.0,1.0,0.0
29.0,40.0,1.0,1.0
30.0,40.0,1.0,1.0
29.0,40.0,1.0,1.0
42.0,42.0,0.0,4.0
21.0,25.0,1.0,3.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
27.0,39.0,1.0,1.0
27.0,39.0,1.0,1.0
27.0,39.0,1.0,1.0
27.0,39.0,1.0,1.0
28.0,39.0,1.0,1.0
28.0,39.0,1.0,1.0
27.0,39.0,1.0,1.0
28.0,39.0,1.0,1.0
27.0,39.0,1.0,1.0
27.0,39.0,1.0,1.0
28.0,39.0,1.0,1.0
28.0,39.0,1.0,1.0
27.0,39.0,1.0,1.0
27.0,39.0,1.0,1.0
28.0,39.0,1.0,1.0
28.0,39.0,1.0,1.0
28.0,39.0,1.0,1.0
28.0,39.0,1.0,1.0
29.0,39.0,1.0,1.0
29.0,39.0,1.0,1.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
30.0,39.0,1.0,1.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
28.0,39.0,1.0,1.0
30.0,40.0,1.0,1.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
12.0,37.0,1.0,0.0
42.0,42.0,0.0,4.0
12.0,36.0,1.0,3.0
42.0,42.0,0.0,4.0
12.0,36.0,1.0,3.0
10.0,36.0,1.0,3.0
12.0,36.0,1.0,3.0
10.0,36.0,1.0,3.0
12.0,36.0,1.0,3.0
11.0,37.0,1.0,0.0
11.0,37.0,1.0,0.0
11.0,37.0,1.0,0.0
12.0,37.0,1.0,0.0
11.0,37.0,1.0,0.0
12.0,37.0,1.0,0.0
12.0,37.0,1.0,0.0
12.0,37.0,1.0,0.0
12.0,37.0,1.0,0.0
12.0,37.0,1.0,0.0
12.0,37.0,1.0,0.0
12.0,37.0,1.0,0.0
12.0,37.0,1.0,0.0
12.0,37.0,1.0,0.0
12.0,37.0,1.0,0.0
12.0,37.0,1.0,0.0
12.0,37.0,1.0,0.0
12.0,37.0,1.0,0.0
12.0,36.0,1.0,3.0
12.0,37.0,1.0,0.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
27.0,40.0,1.0,1.0
24.0,38.0,1.0,1.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
24.0,38.0,1.0,1.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
26.0,38.0,1.0,1.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
25.0,38.0,1.0,1.0
26.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
25.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
24.0,38.0,1.0,1.0
23.0,37.0,1.0,1.0
23.0,37.0,1.0,1.0
24.0,37.0,1.0,1.0
24.0,37.0,1.0,1.0
24.0,37.0,1.0,1.0
23.0,36.0,1.0,3.0
23.0,37.0,1.0,1.0
23.0,37.0,1.0,1.0
23.0,37.0,1.0,1.0
24.0,37.0,1.0,1.0
23.0,37.0,1.0,1.0
24.0,38.0,1.0,1.0
22.0,37.0,1.0,1.0
21.0,38.0,1.0,0.0
22.0,38.0,1.0,1.0
23.0,38.0,1.0,1.0
23.0,38.0,1.0,1.0
22.0,40.0,1.0,1.0
16.0,40.0,1.0,0.0
15.0,40.0,1.0,0.0
28.0,40.0,1.0,1.0
28.0,40.0,1.0,1.0
22.0,40.0,1.0,1.0
16.0,40.0,1.0,0.0
20.0,39.0,1.0,0.0
