yaw,pitch,face,class
36.0,36.0,1.0,3.0
37.0,36.0,1.0,3.0
37.0,36.0,1.0,3.0
37.0,36.0,1.0,3.0
37.0,36.0,1.0,3.0
38.0,36.0,1.0,3.0
37.0,36.0,1.0,3.0
37.0,36.0,1.0,3.0
37.0,35.0,1.0,3.0
37.0,35.0,1.0,3.0
38.0,35.0,1.0,3.0
37.0,36.0,1.0,3.0
37.0,36.0,1.0,3.0
37.0,36.0,1.0,3.0
35.0,36.0,1.0,3.0
37.0,36.0,1.0,3.0
37.0,35.0,1.0,3.0
37.0,36.0,1.0,3.0
37.0,36.0,1.0,3.0
37.0,36.0,1.0,3.0
38.0,36.0,1.0,3.0
38.0,36.0,1.0,3.0
37.0,36.0,1.0,3.0
37.0,35.0,1.0,3.0
38.0,36.0,1.0,3.0
39.0,36.0,1.0,3.0
37.0,36.0,1.0,3.0
38.0,36.0,1.0,3.0
37.0,36.0,1.0,3.0
37.0,36.0,1.0,3.0
39.0,36.0,1.0,3.0
39.0,36.0,1.0,3.0
39.0,36.0,1.0,3.0
39.0,36.0,1.0,3.0
39.0,36.0,1.0,3.0
39.0,36.0,1.0,3.0
36.0,36.0,1.0,3.0
38.0,36.0,1.0,3.0
38.0,36.0,1.0,3.0
38.0,36.0,1.0,3.0
38.0,36.0,1.0,3.0
38.0,36.0,1.0,3.0
38.0,36.0,1.0,3.0
39.0,36.0,1.0,3.0
38.0,36.0,1.0,3.0
38.0,36.0,1.0,3.0
39.0,36.0,1.0,3.0
38.0,36.0,1.0,3.0
36.0,36.0,1.0,3.0
37.0,36.0,1.0,3.0
38.0,36.0,1.0,3.0
38.0,36.0,1.0,3.0
37.0,36.0,1.0,3.0
38.0,36.0,1.0,3.0
37.0,36.0,1.0,3.0
37.0,36.0,1.0,3.0
37.0,36.0,1.0,3.0
36.0,36.0,1.0,3.0
35.0,36.0,1.0,3.0
36.0,36.0,1.0,3.0
36.0,36.0,1.0,3.0
36.0,36.0,1.0,3.0
35.0,36.0,1.0,3.0
35.0,36.0,1.0,3.0
34.0,36.0,1.0,3.0
35.0,36.0,1.0,3.0
35.0,36.0,1.0,3.0
35.0,36.0,1.0,3.0
35.0,36.0,1.0,3.0
35.0,36.0,1.0,3.0
35.0,36.0,1.0,3.0
35.0,36.0,1.0,3.0
35.0,36.0,1.0,3.0
35.0,36.0,1.0,3.0
35.0,36.0,1.0,3.0
34.0,37.0,1.0,1.0
35.0,37.0,1.0,1.0
35.0,37.0,1.0,1.0
35.0,37.0,1.0,1.0
35.0,37.0,1.0,1.0
35.0,37.0,1.0,1.0
35.0,37.0,1.0,1.0
34.0,37.0,1.0,1.0
34.0,37.0,1.0,1.0
35.0,36.0,1.0,3.0
36.0,36.0,1.0,3.0
35.0,36.0,1.0,3.0
35.0,36.0,1.0,3.0
35.0,37.0,1.0,1.0
35.0,37.0,1.0,1.0
35.0,37.0,1.0,1.0
35.0,37.0,1.0,1.0
33.0,37.0,1.0,1.0
33.0,37.0,1.0,1.0
33.0,37.0,1.0,1.0
34.0,37.0,1.0,1.0
35.0,36.0,1.0,3.0
34.0,37.0,1.0,1.0
34.0,36.0,1.0,3.0
34.0,37.0,1.0,1.0
35.0,36.0,1.0,3.0
34.0,37.0,1.0,1.0
34.0,37.0,1.0,1.0
34.0,37.0,1.0,1.0
34.0,36.0,1.0,3.0
34.0,37.0,1.0,1.0
36.0,36.0,1.0,3.0
36.0,36.0,1.0,3.0
33.0,37.0,1.0,1.0
34.0,36.0,1.0,3.0
33.0,37.0,1.0,1.0
34.0,36.0,1.0,3.0
34.0,36.0,1.0,3.0
33.0,37.0,1.0,1.0
34.0,36.0,1.0,3.0
33.0,37.0,1.0,1.0
34.0,36.0,1.0,3.0
33.0,37.0,1.0,1.0
32.0,37.0,1.0,1.0
32.0,37.0,1.0,1.0
33.0,37.0,1.0,1.0
33.0,37.0,1.0,1.0
33.0,37.0,1.0,1.0
33.0,37.0,1.0,1.0
34.0,36.0,1.0,3.0
33.0,37.0,1.0,1.0
33.0,37.0,1.0,1.0
34.0,36.0,1.0,3.0
34.0,37.0,1.0,1.0
34.0,36.0,1.0,3.0
33.0,36.0,1.0,3.0
33.0,36.0,1.0,3.0
33.0,36.0,1.0,3.0
33.0,37.0,1.0,1.0
32.0,37.0,1.0,1.0
33.0,36.0,1.0,3.0
33.0,36.0,1.0,3.0
33.0,36.0,1.0,3.0
33.0,36.0,1.0,3.0
33.0,36.0,1.0,3.0
