yaw,pitch,face,class
31.0,34.0,1.0,3.0
31.0,33.0,1.0,3.0
31.0,33.0,1.0,3.0
31.0,33.0,1.0,3.0
31.0,33.0,1.0,3.0
31.0,33.0,1.0,3.0
31.0,33.0,1.0,3.0
31.0,33.0,1.0,3.0
31.0,34.0,1.0,3.0
31.0,33.0,1.0,3.0
31.0,33.0,1.0,3.0
31.0,34.0,1.0,3.0
31.0,34.0,1.0,3.0
31.0,34.0,1.0,3.0
31.0,35.0,1.0,3.0
31.0,35.0,1.0,3.0
31.0,35.0,1.0,3.0
31.0,35.0,1.0,3.0
31.0,33.0,1.0,3.0
31.0,33.0,1.0,3.0
31.0,32.0,1.0,3.0
33.0,31.0,1.0,3.0
34.0,31.0,1.0,3.0
34.0,31.0,1.0,3.0
34.0,31.0,1.0,3.0
34.0,31.0,1.0,3.0
35.0,31.0,1.0,3.0
37.0,31.0,1.0,3.0
37.0,31.0,1.0,3.0
34.0,31.0,1.0,3.0
33.0,31.0,1.0,3.0
33.0,31.0,1.0,3.0
33.0,31.0,1.0,3.0
33.0,31.0,1.0,3.0
33.0,31.0,1.0,3.0
32.0,30.0,1.0,3.0
24.0,23.0,1.0,3.0
24.0,23.0,1.0,3.0
28.0,22.0,1.0,3.0
26.0,23.0,1.0,3.0
29.0,24.0,1.0,3.0
30.0,24.0,1.0,3.0
30.0,24.0,1.0,3.0
30.0,24.0,1.0,3.0
29.0,24.0,1.0,3.0
28.0,26.0,1.0,3.0
29.0,34.0,1.0,3.0
27.0,27.0,1.0,3.0
27.0,34.0,1.0,3.0
27.0,34.0,1.0,3.0
27.0,34.0,1.0,3.0
26.0,28.0,1.0,3.0
29.0,33.0,1.0,3.0
31.0,34.0,1.0,3.0
30.0,24.0,1.0,3.0
31.0,23.0,1.0,3.0
31.0,24.0,1.0,3.0
29.0,25.0,1.0,3.0
29.0,24.0,1.0,3.0
30.0,23.0,1.0,3.0
29.0,24.0,1.0,3.0
29.0,24.0,1.0,3.0
30.0,22.0,1.0,3.0
29.0,24.0,1.0,3.0
29.0,24.0,1.0,3.0
29.0,24.0,1.0,3.0
30.0,22.0,1.0,3.0
30.0,22.0,1.0,3.0
30.0,22.0,1.0,3.0
29.0,24.0,1.0,3.0
29.0,24.0,1.0,3.0
31.0,21.0,1.0,3.0
31.0,21.0,1.0,3.0
31.0,21.0,1.0,3.0
31.0,21.0,1.0,3.0
31.0,21.0,1.0,3.0
31.0,21.0,1.0,3.0
31.0,21.0,1.0,3.0
31.0,21.0,1.0,3.0
31.0,21.0,1.0,3.0
31.0,21.0,1.0,3.0
31.0,21.0,1.0,3.0
31.0,21.0,1.0,3.0
31.0,21.0,1.0,3.0
31.0,21.0,1.0,3.0
30.0,21.0,1.0,3.0
29.0,24.0,1.0,3.0
30.0,21.0,1.0,3.0
31.0,21.0,1.0,3.0
30.0,20.0,1.0,3.0
31.0,21.0,1.0,3.0
31.0,21.0,1.0,3.0
29.0,24.0,1.0,3.0
23.0,26.0,1.0,3.0
31.0,23.0,1.0,3.0
35.0,35.0,1.0,3.0
35.0,34.0,1.0,3.0
35.0,34.0,1.0,3.0
35.0,34.0,1.0,3.0
35.0,35.0,1.0,3.0
34.0,34.0,1.0,3.0
35.0,34.0,1.0,3.0
34.0,30.0,1.0,3.0
35.0,30.0,1.0,3.0
34.0,30.0,1.0,3.0
47.0,7.0,1.0,1.0
47.0,7.0,1.0,1.0
47.0,7.0,1.0,1.0
31.0,33.0,1.0,3.0
31.0,33.0,1.0,3.0
47.0,7.0,1.0,1.0
17.0,11.0,1.0,3.0
17.0,11.0,1.0,3.0
17.0,11.0,1.0,3.0
17.0,11.0,1.0,3.0
17.0,11.0,1.0,3.0
