yaw,pitch,face,class
54.0,21.0,1.0,1.0
54.0,21.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,21.0,1.0,1.0
54.0,21.0,1.0,1.0
54.0,21.0,1.0,1.0
54.0,21.0,1.0,1.0
54.0,21.0,1.0,1.0
54.0,21.0,1.0,1.0
54.0,21.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,21.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,20.0,1.0,1.0
54.0,21.0,1.0,1.0
54.0,24.0,1.0,1.0
54.0,21.0,1.0,1.0
54.0,21.0,1.0,1.0
54.0,21.0,1.0,1.0
54.0,21.0,1.0,1.0
53.0,21.0,1.0,1.0
53.0,21.0,1.0,1.0
54.0,20.0,1.0,1.0
53.0,20.0,1.0,1.0
53.0,20.0,1.0,1.0
53.0,20.0,1.0,1.0
53.0,20.0,1.0,1.0
52.0,20.0,1.0,1.0
53.0,20.0,1.0,1.0
53.0,20.0,1.0,1.0
53.0,20.0,1.0,1.0
52.0,20.0,1.0,1.0
52.0,20.0,1.0,1.0
52.0,21.0,1.0,1.0
52.0,21.0,1.0,1.0
52.0,21.0,1.0,1.0
52.0,21.0,1.0,1.0
47.0,33.0,1.0,1.0
52.0,21.0,1.0,1.0
52.0,21.0,1.0,1.0
45.0,34.0,1.0,3.0
52.0,21.0,1.0,1.0
52.0,21.0,1.0,1.0
52.0,21.0,1.0,1.0
45.0,37.0,1.0,3.0
44.0,39.0,1.0,3.0
44.0,39.0,1.0,3.0
44.0,39.0,1.0,3.0
31.0,52.0,1.0,3.0
31.0,51.0,1.0,3.0
31.0,51.0,1.0,3.0
31.0,51.0,1.0,3.0
23.0,52.0,1.0,3.0
23.0,52.0,1.0,3.0
23.0,52.0,1.0,3.0
23.0,53.0,1.0,3.0
30.0,52.0,1.0,3.0
30.0,52.0,1.0,3.0
30.0,52.0,1.0,3.0
31.0,52.0,1.0,3.0
30.0,52.0,1.0,3.0
30.0,52.0,1.0,3.0
31.0,52.0,1.0,3.0
29.0,52.0,1.0,3.0
31.0,52.0,1.0,3.0
31.0,51.0,1.0,3.0
31.0,52.0,1.0,3.0
