yaw,pitch,face,class
26.0,51.0,1.0,3.0
25.0,50.0,1.0,3.0
26.0,51.0,1.0,3.0
26.0,51.0,1.0,3.0
26.0,51.0,1.0,3.0
25.0,51.0,1.0,3.0
26.0,51.0,1.0,3.0
26.0,51.0,1.0,3.0
27.0,51.0,1.0,3.0
27.0,51.0,1.0,3.0
27.0,51.0,1.0,3.0
27.0,51.0,1.0,3.0
25.0,50.0,1.0,3.0
25.0,50.0,1.0,3.0
26.0,50.0,1.0,3.0
26.0,50.0,1.0,3.0
27.0,51.0,1.0,3.0
28.0,52.0,1.0,3.0
27.0,52.0,1.0,3.0
27.0,51.0,1.0,3.0
27.0,51.0,1.0,3.0
26.0,50.0,1.0,3.0
26.0,50.0,1.0,3.0
28.0,52.0,1.0,3.0
28.0,52.0,1.0,3.0
28.0,51.0,1.0,3.0
28.0,52.0,1.0,3.0
28.0,52.0,1.0,3.0
27.0,51.0,1.0,3.0
28.0,51.0,1.0,3.0
28.0,51.0,1.0,3.0
28.0,51.0,1.0,3.0
28.0,51.0,1.0,3.0
28.0,51.0,1.0,3.0
28.0,51.0,1.0,3.0
28.0,51.0,1.0,3.0
27.0,51.0,1.0,3.0
27.0,51.0,1.0,3.0
27.0,51.0,1.0,3.0
27.0,51.0,1.0,3.0
27.0,51.0,1.0,3.0
27.0,50.0,1.0,3.0
27.0,50.0,1.0,3.0
27.0,50.0,1.0,3.0
27.0,50.0,1.0,3.0
27.0,50.0,1.0,3.0
27.0,50.0,1.0,3.0
27.0,50.0,1.0,3.0
27.0,49.0,1.0,3.0
27.0,50.0,1.0,3.0
27.0,50.0,1.0,3.0
27.0,50.0,1.0,3.0
27.0,50.0,1.0,3.0
27.0,50.0,1.0,3.0
27.0,51.0,1.0,3.0
27.0,51.0,1.0,3.0
27.0,52.0,1.0,3.0
27.0,51.0,1.0,3.0
27.0,52.0,1.0,3.0
27.0,52.0,1.0,3.0
27.0,52.0,1.0,3.0
27.0,52.0,1.0,3.0
27.0,52.0,1.0,3.0
27.0,52.0,1.0,3.0
26.0,52.0,1.0,3.0
26.0,52.0,1.0,3.0
24.0,50.0,1.0,3.0
24.0,50.0,1.0,3.0
24.0,50.0,1.0,3.0
24.0,50.0,1.0,3.0
24.0,50.0,1.0,3.0
24.0,50.0,1.0,3.0
24.0,50.0,1.0,3.0
24.0,49.0,1.0,3.0
23.0,49.0,1.0,3.0
24.0,50.0,1.0,3.0
15.0,31.0,1.0,1.0
22.0,47.0,1.0,3.0
15.0,31.0,1.0,1.0
15.0,31.0,1.0,1.0
