yaw,pitch,face,class
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
22.0,51.0,1.0,1.0
21.0,50.0,1.0,1.0
21.0,52.0,1.0,1.0
21.0,52.0,1.0,1.0
21.0,52.0,1.0,1.0
21.0,52.0,1.0,1.0
21.0,52.0,1.0,1.0
12.0,30.0,1.0,1.0
12.0,30.0,1.0,1.0
22.0,50.0,1.0,1.0
22.0,49.0,1.0,1.0
22.0,47.0,1.0,1.0
22.0,47.0,1.0,1.0
23.0,47.0,1.0,1.0
13.0,29.0,1.0,1.0
14.0,30.0,1.0,1.0
14.0,30.0,1.0,1.0
15.0,29.0,1.0,1.0
14.0,30.0,1.0,1.0
20.0,44.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,30.0,1.0,1.0
13.0,30.0,1.0,1.0
12.0,29.0,1.0,1.0
12.0,29.0,1.0,1.0
13.0,30.0,1.0,1.0
13.0,30.0,1.0,1.0
13.0,30.0,1.0,1.0
12.0,30.0,1.0,1.0
12.0,30.0,1.0,1.0
12.0,30.0,1.0,1.0
12.0,30.0,1.0,1.0
12.0,29.0,1.0,1.0
12.0,29.0,1.0,1.0
12.0,29.0,1.0,1.0
12.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
12.0,29.0,1.0,1.0
12.0,29.0,1.0,1.0
12.0,29.0,1.0,1.0
12.0,29.0,1.0,1.0
12.0,29.0,1.0,1.0
12.0,29.0,1.0,1.0
12.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
12.0,29.0,1.0,1.0
12.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
12.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,30.0,1.0,1.0
13.0,29.0,1.0,1.0
23.0,53.0,1.0,1.0
22.0,53.0,1.0,1.0
21.0,53.0,1.0,1.0
22.0,53.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
12.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
12.0,29.0,1.0,1.0
12.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
13.0,29.0,1.0,1.0
