yaw,pitch,face,class
46.0,31.0,1.0,1.0
48.0,31.0,1.0,1.0
50.0,24.0,1.0,1.0
32.0,47.0,1.0,0.0
32.0,47.0,1.0,0.0
50.0,25.0,1.0,1.0
32.0,47.0,1.0,0.0
50.0,24.0,1.0,1.0
50.0,24.0,1.0,1.0
50.0,24.0,1.0,1.0
50.0,24.0,1.0,1.0
50.0,24.0,1.0,1.0
31.0,50.0,1.0,0.0
31.0,51.0,1.0,0.0
47.0,57.0,1.0,1.0
47.0,57.0,1.0,1.0
31.0,50.0,1.0,0.0
31.0,50.0,1.0,0.0
47.0,57.0,1.0,1.0
30.0,52.0,1.0,3.0
47.0,57.0,1.0,1.0
47.0,57.0,1.0,1.0
47.0,57.0,1.0,1.0
47.0,57.0,1.0,1.0
50.0,20.0,1.0,1.0
49.0,20.0,1.0,1.0
50.0,20.0,1.0,1.0
49.0,20.0,1.0,1.0
50.0,20.0,1.0,1.0
50.0,20.0,1.0,1.0
47.0,57.0,1.0,1.0
47.0,57.0,1.0,1.0
47.0,57.0,1.0,1.0
47.0,55.0,1.0,0.0
50.0,20.0,1.0,1.0
50.0,20.0,1.0,1.0
49.0,20.0,1.0,1.0
49.0,20.0,1.0,1.0
32.0,47.0,1.0,0.0
49.0,20.0,1.0,1.0
49.0,20.0,1.0,1.0
47.0,57.0,1.0,1.0
50.0,21.0,1.0,1.0
50.0,21.0,1.0,1.0
50.0,20.0,1.0,1.0
50.0,20.0,1.0,1.0
50.0,20.0,1.0,1.0
50.0,20.0,1.0,1.0
50.0,21.0,1.0,1.0
50.0,21.0,1.0,1.0
50.0,21.0,1.0,1.0
50.0,20.0,1.0,1.0
50.0,20.0,1.0,1.0
50.0,19.0,1.0,1.0
50.0,19.0,1.0,1.0
50.0,19.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,19.0,1.0,1.0
50.0,19.0,1.0,1.0
50.0,19.0,1.0,1.0
50.0,20.0,1.0,1.0
50.0,19.0,1.0,1.0
49.0,19.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,19.0,1.0,1.0
50.0,19.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,19.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,19.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,19.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
50.0,18.0,1.0,1.0
