yaw,pitch,face,class
24.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
24.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
24.0,61.0,1.0,3.0
24.0,61.0,1.0,3.0
24.0,61.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
23.0,55.0,1.0,3.0
25.0,60.0,1.0,3.0
26.0,59.0,1.0,3.0
27.0,58.0,1.0,3.0
27.0,59.0,1.0,3.0
27.0,59.0,1.0,3.0
15.0,35.0,1.0,1.0
15.0,35.0,1.0,1.0
16.0,36.0,1.0,1.0
28.0,59.0,1.0,3.0
28.0,59.0,1.0,3.0
24.0,52.0,1.0,3.0
24.0,52.0,1.0,3.0
28.0,59.0,1.0,3.0
28.0,59.0,1.0,3.0
27.0,59.0,1.0,3.0
24.0,55.0,1.0,3.0
25.0,59.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
24.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
24.0,61.0,1.0,3.0
24.0,61.0,1.0,3.0
24.0,61.0,1.0,3.0
24.0,61.0,1.0,3.0
24.0,61.0,1.0,3.0
24.0,61.0,1.0,3.0
24.0,61.0,1.0,3.0
24.0,61.0,1.0,3.0
24.0,61.0,1.0,3.0
24.0,61.0,1.0,3.0
24.0,61.0,1.0,3.0
24.0,61.0,1.0,3.0
24.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,59.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,60.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
26.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
26.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
25.0,61.0,1.0,3.0
