,file,case,l2cs_m2p,baseline
0,33001_sessie1_taskrobotEngagement,visible,0.5806451612903226,0.7419354838709677
1,33001_sessie2_taskrobotEngagement,visible,0.5185185185185185,0.8148148148148148
2,33001_sessie3_taskrobotEngagement,visible,0.4230769230769231,0.7307692307692307
3,33002_sessie1_taskrobotEngagement,visible,0.5185185185185185,0.48148148148148145
4,33002_sessie2_taskrobotEngagement,visible,0.45161290322580644,0.3225806451612903
5,33002_sessie3_taskrobotEngagement,visible,0.3076923076923077,0.46153846153846156
6,33003_sessie1_taskrobotEngagement,visible,0.45,0.4
7,33003_sessie3_robotEngagement1,visible,0.3548387096774194,0.6774193548387096
8,33003_sessie3_taskrobotEngagement,visible,0.32,0.56
9,33004_sessie1_taskrobotEngagement,visible,0.4166666666666667,0.5
10,33004_sessie2_taskrobotEngagement,visible,0.5666666666666667,0.16666666666666666
11,33004_sessie3_taskrobotEngagement,visible,0.5172413793103449,0.5172413793103449
12,33005_sessie1_taskrobotEngagement,visible,0.5714285714285714,0.8095238095238095
13,33005_sessie2_taskrobotEngagement,visible,0.5555555555555556,0.4166666666666667
14,33005_sessie3_taskrobotEngagement,visible,0.45,0.55
15,33006_sessie1_taskrobotEngagement,visible,0.7083333333333334,0.5416666666666666
16,33006_sessie2_taskrobotEngagement,visible,0.5,0.5
17,33006_sessie3_taskrobotEngagement,visible,0.4375,0.25
18,33007_sessie1_taskrobotEngagement,visible,0.6666666666666666,0.4583333333333333
19,33007_sessie2_taskrobotEngagement,visible,0.8461538461538461,0.5384615384615384
20,33007_sessie3_taskrobotEngagement,visible,0.6190476190476191,0.5238095238095238
21,33008_sessie1_taskrobotEngagement,visible,0.5217391304347826,0.2608695652173913
22,33008_sessie2_taskrobotEngagement,visible,0.4444444444444444,0.37037037037037035
23,33008_sessie3_taskrobotEngagement,visible,0.4,0.4666666666666667
24,33010_sessie1_taskrobotEngagement,visible,0.34210526315789475,0.39473684210526316
25,33010_sessie2_taskrobotEngagement,visible,0.65,0.35
26,33010_sessie3_taskrobotEngagement,visible,0.30952380952380953,0.38095238095238093
27,33011_sessie2_robotEngagement1,visible,0.24444444444444444,0.35555555555555557
28,33011_sessie2_taskrobotEngagement,visible,0.5,0.4230769230769231
29,33011_sessie3_taskrobotEngagement,visible,0.38095238095238093,0.5714285714285714
30,33013_sessie3_robotEngagement3,visible,0.45,0.65
31,33013_sessie3_taskEngagement1,visible,0.3157894736842105,0.5789473684210527
32,33013_sessie3_taskrobotEngagement,visible,0.30434782608695654,0.5217391304347826
33,Proefpersoon22016_Sessie1,visible,0.20833333333333334,0.2916666666666667
34,Proefpersoon22016_Sessie2,visible,0.8181818181818182,0.5454545454545454
35,Proefpersoon22016_Sessie3,visible,0.2857142857142857,0.2857142857142857
36,Proefpersoon22017_Sessie1,visible,0.4117647058823529,0.4117647058823529
37,Proefpersoon22017_Sessie2,visible,0.6296296296296297,0.2222222222222222
38,Proefpersoon22017_Sessie3,visible,0.625,0.5
39,Proefpersoon22018_Sessie1,visible,0.5,0.125
40,Proefpersoon22018_Sessie2,visible,0.4166666666666667,0.4166666666666667
41,Proefpersoon22018_Sessie3,visible,0.5714285714285714,0.35714285714285715
42,Proefpersoon22030_Sessie1,visible,0.3333333333333333,0.42857142857142855
43,Proefpersoon22030_Sessie2_Poging2,visible,0.23809523809523808,0.38095238095238093
44,Proefpersoon22030_Sessie3,visible,0.42105263157894735,0.3684210526315789
