,file,case,ckappa_manl2cs,ckappa_manl2cs_li,ckappa_manl2cs_qua
0,33001_sessie1_taskrobotEngagement,visible,0.3976083707025412,0.3963344788087056,0.3506594259115593
3,33002_sessie1_taskrobotEngagement,visible,0.1268656716417909,0.1580041580041579,0.2021772939346812
6,33003_sessie1_taskrobotEngagement,visible,0.0393013100436681,0.0952380952380951,0.1463414634146339
9,33004_sessie1_taskrobotEngagement,visible,-0.1200000000000001,-0.1428571428571428,-0.1685393258426966
12,33005_sessie1_taskrobotEngagement,visible,0.136986301369863,0.2222222222222222,0.3225806451612903
15,33006_sessie1_taskrobotEngagement,visible,0.4455445544554455,0.4716981132075472,0.5172413793103448
18,33007_sessie1_taskrobotEngagement,visible,0.4037267080745341,0.4744525547445255,0.52
23,33008_sessie3_taskrobotEngagement,visible,0.0689655172413794,-0.1904761904761907,-0.6779661016949152
25,33010_sessie2_taskrobotEngagement,visible,0.453125,0.2613636363636364,0.0357142857142857
28,33011_sessie2_taskrobotEngagement,visible,0.3717472118959108,0.173728813559322,0.0
33,Proefpersoon22016_Sessie1,visible,-0.1921397379912663,-0.2109589041095889,-0.24
16,51014_sessie2_taskrobotEngagement,invisible,0.0364963503649635,-0.0328638497652582,-0.0877447425670776
18,51015_sessie1_taskrobotEngagement,invisible,-0.1259842519685037,-0.0198675496688742,0.1243781094527362
21,51016_sessie1_taskrobotEngagement,invisible,0.1910112359550562,0.3898305084745762,0.6
24,51017_sessie1_taskrobotEngagement,invisible,0.7692307692307693,0.7096774193548387,0.6341463414634146
27,51019_sessie1_taskrobotEngagement,invisible,0.4489795918367347,0.2372881355932203,-0.0253164556962026
30,51020_sessie1_taskrobotEngagement,invisible,0.4166666666666666,0.4328358208955224,0.4540229885057472
33,51021_sessie1_taskrobotEngagement,invisible,0.2694965449160909,0.2024820378837361,0.1551286698079014
38,Proefpersoon11009_sessie2,invisible,0.5942028985507246,0.7307692307692308,0.851063829787234
40,Proefpersoon11012_sessie1,invisible,0.0476190476190476,0.0816326530612245,0.1269841269841271
43,Proefpersoon11029_sessie2,invisible,0.0880829015544041,0.0769230769230768,0.0476190476190476
