,file,annotator,2ndannotator,case,ckappa_double,ckappa_double_li,ckappa_double_qua
0,33008_sessie3_taskrobotEngagement,Ronald,Daen,visible,0.007625571907737494,0.00800973360759738,0.008777165412157895
1,33010_sessie2_taskrobotEngagement,Ronald,Daen,visible,0.041723847484000154,0.02570039400294688,0.008486407441991473
2,33011_sessie2_taskrobotEngagement,Ronald,Daen,visible,-0.014505623360002273,-0.017469453520118083,-0.019592179514753116
3,51014_sessie2_taskrobotEngagement,Lin,Daen,invisible,0.01324313126286536,-0.025414810834369472,-0.06553484169072732
4,Proefpersoon11009_sessie2,Lin,Daen,invisible,0.009196463619060569,-0.05163741864030347,-0.14257657626289344
5,Proefpersoon11012_sessie1,Lin,Daen,invisible,-0.010629123665002016,-0.01029011485095932,-0.009736924675150638
6,Proefpersoon11029_sessie2,Lin,Daen,invisible,0.21938229944329768,0.22511109731687373,0.23222311008993635
7,33001_sessie1_taskrobotEngagement,Ronald,Lin,visible,-0.03309509205584016,-0.0365903603607467,-0.04255249197898192
8,33002_sessie1_taskrobotEngagement,Ronald,Lin,visible,0.08380384496761595,0.11319476001692352,0.1643454736736636
9,33003_sessie1_taskrobotEngagement,Ronald,Lin,visible,0.050149140530544645,0.08037032217926188,0.10249303758361616
10,33004_sessie1_taskrobotEngagement,Ronald,Lin,visible,0.032223095207311814,0.019993410306560877,0.009151704042002606
11,33005_sessie1_taskrobotEngagement,Ronald,Lin,visible,0.12334983102358299,0.11804825692521614,0.10822356515724452
12,33006_sessie1_taskrobotEngagement,Ronald,Lin,visible,0.0,0.0,0.0
13,33007_sessie1_taskrobotEngagement,Ronald,Lin,visible,0.07212767892267169,0.06283741969896661,0.05577581913534191
14,51015_sessie1_taskrobotEngagement,Lin,Ronald,invisible,-0.04335280622501836,-0.04040597315835592,-0.03526128985983412
15,51016_sessie1_taskrobotEngagement,Lin,Ronald,invisible,0.12426785418632613,0.09471513450813063,0.05132718957803428
16,51017_sessie1_taskrobotEngagement,Lin,Ronald,invisible,0.06228218171228517,0.04990460315979639,0.03514762147256578
17,51019_sessie1_taskrobotEngagement,Lin,Ronald,invisible,0.09376996204862287,0.0976044451433663,0.10386106895970315
18,51020_sessie1_taskrobotEngagement,Lin,Ronald,invisible,-0.052863777339577256,-0.04942492259509401,-0.04544892709467829
19,51021_sessie1_taskrobotEngagement,Lin,Ronald,invisible,0.003563828116086465,0.01593847251436098,0.031125920213494473
20,Proefpersoon22016_Sessie1,Daen,Ronald,visible,-0.015723588524803933,-0.010060365097176449,-0.006430685839428074
