,file,case,l2cs_org,l2cs_m2prop
0,51007_sessie1_taskrobotEngagement,invisible,85.0,85.0
1,51007_sessie2_taskrobotEngagement,invisible,85.0,85.0
2,51007_sessie3_taskrobotEngagement,invisible,66.67,66.67
3,51009_sessie1_taskrobotEngagement,invisible,27.78,27.78
4,51009_sessie2_taskrobotEngagement,invisible,17.65,17.65
5,51009_sessie3_taskrobotEngagement,invisible,62.96,59.26
6,51010_sessie1_taskrobotEngagement,invisible,52.94,52.94
7,51010_sessie2_taskrobotEngagement,invisible,50.0,50.0
8,51010_sessie3_taskrobotEngagement,invisible,77.78,77.78
9,51011_sessie3_robotEngagement3,invisible,83.33,83.33
10,51011_sessie3_taskEngagement1,invisible,71.43,71.43
11,51011_sessie3_taskrobotEngagement,invisible,58.82,52.94
12,51013_sessie1_taskrobotEngagement,invisible,50.0,50.0
13,51013_sessie2_taskrobotEngagement,invisible,70.0,70.0
14,51013_sessie3_taskrobotEngagement,invisible,100.0,100.0
15,51014_sessie1_taskrobotEngagement,invisible,42.31,46.15
16,51014_sessie2_taskrobotEngagement,invisible,26.67,26.67
17,51014_sessie3_taskrobotEngagement,invisible,38.1,38.1
18,51015_sessie1_taskrobotEngagement,invisible,50.0,40.91
19,51015_sessie2_taskrobotEngagement,invisible,73.53,70.59
20,51015_sessie3_taskrobotEngagement,invisible,64.29,57.14
21,51016_sessie1_taskrobotEngagement,invisible,43.75,43.75
22,51016_sessie3_taskEngagement1,invisible,57.14,71.43
23,51016_sessie3_taskrobotEngagement,invisible,56.25,68.75
24,51017_sessie1_taskrobotEngagement,invisible,80.0,86.67
25,51017_sessie2_taskrobotEngagement,invisible,50.0,35.71
26,51017_sessie3_taskrobotEngagement,invisible,64.29,85.71
27,51019_sessie1_taskrobotEngagement,invisible,55.56,66.67
28,51019_sessie2_taskrobotEngagement,invisible,10.0,10.0
29,51019_sessie3_taskrobotEngagement,invisible,29.41,41.18
30,51020_sessie1_taskrobotEngagement,invisible,47.37,63.16
31,51020_sessie2_taskrobotEngagement,invisible,41.38,62.07
32,51020_sessie3_taskrobotEngagement,invisible,82.35,94.12
33,51021_sessie1_taskrobotEngagement,invisible,40.54,45.95
34,51021_sessie2_taskrobotEngagement,invisible,52.0,56.0
35,51021_sessie3_taskrobotEngagement,invisible,68.18,72.73
36,Proefpersoon11009_Sessie3,invisible,62.5,75.0
37,Proefpersoon11009_sessie1,invisible,56.52,69.57
38,Proefpersoon11009_sessie2,invisible,78.57,71.43
39,Proefpersoon11012_Sessie3,invisible,100.0,100.0
40,Proefpersoon11012_sessie1,invisible,53.33,46.67
41,Proefpersoon11012_sessie2,invisible,50.0,50.0
42,Proefpersoon11029_Sessie1,invisible,66.67,76.19
43,Proefpersoon11029_sessie2,invisible,31.25,31.25
44,Proefpersoon11029_sessie3,invisible,54.55,51.52
