,file,case,l2cs_org,l2cs_m2prop
0,51007_sessie1_taskrobotEngagement,invisible,0.85,0.85
1,51007_sessie2_taskrobotEngagement,invisible,0.85,0.85
2,51007_sessie3_taskrobotEngagement,invisible,0.6666666666666666,0.6666666666666666
3,51009_sessie1_taskrobotEngagement,invisible,0.2777777777777778,0.2777777777777778
4,51009_sessie2_taskrobotEngagement,invisible,0.17647058823529413,0.17647058823529413
5,51009_sessie3_taskrobotEngagement,invisible,0.6296296296296297,0.5925925925925926
6,51010_sessie1_taskrobotEngagement,invisible,0.5294117647058824,0.5294117647058824
7,51010_sessie2_taskrobotEngagement,invisible,0.5,0.5
8,51010_sessie3_taskrobotEngagement,invisible,0.7777777777777778,0.7777777777777778
9,51011_sessie3_robotEngagement3,invisible,0.8333333333333334,0.8333333333333334
10,51011_sessie3_taskEngagement1,invisible,0.7142857142857143,0.7142857142857143
11,51011_sessie3_taskrobotEngagement,invisible,0.5882352941176471,0.5294117647058824
12,51013_sessie1_taskrobotEngagement,invisible,0.5,0.5
13,51013_sessie2_taskrobotEngagement,invisible,0.7,0.7
14,51013_sessie3_taskrobotEngagement,invisible,1.0,1.0
15,51014_sessie1_taskrobotEngagement,invisible,0.4230769230769231,0.46153846153846156
16,51014_sessie2_taskrobotEngagement,invisible,0.26666666666666666,0.26666666666666666
17,51014_sessie3_taskrobotEngagement,invisible,0.38095238095238093,0.38095238095238093
18,51015_sessie1_taskrobotEngagement,invisible,0.5,0.4090909090909091
19,51015_sessie2_taskrobotEngagement,invisible,0.7352941176470589,0.7058823529411765
20,51015_sessie3_taskrobotEngagement,invisible,0.6428571428571429,0.5714285714285714
21,51016_sessie1_taskrobotEngagement,invisible,0.4375,0.4375
22,51016_sessie3_taskEngagement1,invisible,0.5714285714285714,0.7142857142857143
23,51016_sessie3_taskrobotEngagement,invisible,0.5625,0.6875
24,51017_sessie1_taskrobotEngagement,invisible,0.8,0.8666666666666667
25,51017_sessie2_taskrobotEngagement,invisible,0.5,0.35714285714285715
26,51017_sessie3_taskrobotEngagement,invisible,0.6428571428571429,0.8571428571428571
27,51019_sessie1_taskrobotEngagement,invisible,0.5555555555555556,0.6666666666666666
28,51019_sessie2_taskrobotEngagement,invisible,0.1,0.1
29,51019_sessie3_taskrobotEngagement,invisible,0.29411764705882354,0.4117647058823529
30,51020_sessie1_taskrobotEngagement,invisible,0.47368421052631576,0.631578947368421
31,51020_sessie2_taskrobotEngagement,invisible,0.41379310344827586,0.6206896551724138
32,51020_sessie3_taskrobotEngagement,invisible,0.8235294117647058,0.9411764705882353
33,51021_sessie1_taskrobotEngagement,invisible,0.40540540540540543,0.4594594594594595
34,51021_sessie2_taskrobotEngagement,invisible,0.52,0.56
35,51021_sessie3_taskrobotEngagement,invisible,0.6818181818181818,0.7272727272727273
36,Proefpersoon11009_Sessie3,invisible,0.625,0.75
37,Proefpersoon11009_sessie1,invisible,0.5652173913043478,0.6956521739130435
38,Proefpersoon11009_sessie2,invisible,0.7857142857142857,0.7142857142857143
39,Proefpersoon11012_Sessie3,invisible,1.0,1.0
40,Proefpersoon11012_sessie1,invisible,0.5333333333333333,0.4666666666666667
41,Proefpersoon11012_sessie2,invisible,0.5,0.5
42,Proefpersoon11029_Sessie1,invisible,0.6666666666666666,0.7619047619047619
43,Proefpersoon11029_sessie2,invisible,0.3125,0.3125
44,Proefpersoon11029_sessie3,invisible,0.5454545454545454,0.5151515151515151
