,file,case,l2cs_m2p,baseline
0,33001_sessie1_taskrobotEngagement,visible,58.06,74.19
1,33001_sessie2_taskrobotEngagement,visible,51.85,81.48
2,33001_sessie3_taskrobotEngagement,visible,42.31,73.08
3,33002_sessie1_taskrobotEngagement,visible,51.85,48.15
4,33002_sessie2_taskrobotEngagement,visible,45.16,32.26
5,33002_sessie3_taskrobotEngagement,visible,28.57,42.86
6,33003_sessie1_taskrobotEngagement,visible,45.0,40.0
7,33003_sessie3_robotEngagement1,visible,35.48,67.74
8,33003_sessie3_taskrobotEngagement,visible,32.0,56.0
9,33004_sessie1_taskrobotEngagement,visible,41.67,50.0
10,33004_sessie2_taskrobotEngagement,visible,56.67,16.67
11,33004_sessie3_taskrobotEngagement,visible,51.72,51.72
12,33005_sessie1_taskrobotEngagement,visible,57.14,80.95
13,33005_sessie2_taskrobotEngagement,visible,55.56,41.67
14,33005_sessie3_taskrobotEngagement,visible,47.62,52.38
15,33006_sessie1_taskrobotEngagement,visible,70.83,54.17
16,33006_sessie2_taskrobotEngagement,visible,50.0,50.0
17,33006_sessie3_taskrobotEngagement,visible,43.75,25.0
18,33007_sessie1_taskrobotEngagement,visible,66.67,45.83
19,33007_sessie2_taskrobotEngagement,visible,84.62,53.85
20,33007_sessie3_taskrobotEngagement,visible,61.9,52.38
21,33008_sessie1_taskrobotEngagement,visible,52.17,26.09
22,33008_sessie2_taskrobotEngagement,visible,44.44,37.04
23,33008_sessie3_taskrobotEngagement,visible,40.0,46.67
24,33010_sessie1_taskrobotEngagement,visible,34.21,39.47
25,33010_sessie2_taskrobotEngagement,visible,65.0,35.0
26,33010_sessie3_taskrobotEngagement,visible,30.95,38.1
27,33011_sessie2_robotEngagement1,visible,23.91,36.96
28,33011_sessie2_taskrobotEngagement,visible,50.0,42.31
29,33011_sessie3_taskrobotEngagement,visible,38.1,57.14
30,33013_sessie3_robotEngagement3,visible,45.0,65.0
31,33013_sessie3_taskEngagement1,visible,31.58,57.89
32,33013_sessie3_taskrobotEngagement,visible,30.43,52.17
33,Proefpersoon22016_Sessie1,visible,19.23,26.92
34,Proefpersoon22016_Sessie2,visible,80.0,51.43
35,Proefpersoon22016_Sessie3,visible,27.27,31.82
36,Proefpersoon22017_Sessie1,visible,41.18,41.18
37,Proefpersoon22017_Sessie2,visible,62.96,22.22
38,Proefpersoon22017_Sessie3,visible,62.5,50.0
39,Proefpersoon22018_Sessie1,visible,50.0,12.5
40,Proefpersoon22018_Sessie2,visible,41.67,41.67
41,Proefpersoon22018_Sessie3,visible,57.14,35.71
42,Proefpersoon22030_Sessie1,visible,33.33,42.86
43,Proefpersoon22030_Sessie2_Poging2,visible,20.83,41.67
44,Proefpersoon22030_Sessie3,visible,42.11,36.84
