,Unnamed: 0,file,case,framenumber,class
205685,205685,33002_sessie2_taskrobotEngagement,visible,0,1
205686,205686,33002_sessie2_taskrobotEngagement,visible,1,1
205687,205687,33002_sessie2_taskrobotEngagement,visible,2,1
205688,205688,33002_sessie2_taskrobotEngagement,visible,3,1
205689,205689,33002_sessie2_taskrobotEngagement,visible,4,1
205690,205690,33002_sessie2_taskrobotEngagement,visible,5,1
205691,205691,33002_sessie2_taskrobotEngagement,visible,6,1
205692,205692,33002_sessie2_taskrobotEngagement,visible,7,1
205693,205693,33002_sessie2_taskrobotEngagement,visible,8,1
205694,205694,33002_sessie2_taskrobotEngagement,visible,9,1
205695,205695,33002_sessie2_taskrobotEngagement,visible,10,1
205696,205696,33002_sessie2_taskrobotEngagement,visible,11,1
205697,205697,33002_sessie2_taskrobotEngagement,visible,12,1
205698,205698,33002_sessie2_taskrobotEngagement,visible,13,1
205699,205699,33002_sessie2_taskrobotEngagement,visible,14,1
205700,205700,33002_sessie2_taskrobotEngagement,visible,15,1
205701,205701,33002_sessie2_taskrobotEngagement,visible,16,1
205702,205702,33002_sessie2_taskrobotEngagement,visible,17,1
205703,205703,33002_sessie2_taskrobotEngagement,visible,18,1
205704,205704,33002_sessie2_taskrobotEngagement,visible,19,1
205705,205705,33002_sessie2_taskrobotEngagement,visible,20,1
205706,205706,33002_sessie2_taskrobotEngagement,visible,21,1
205707,205707,33002_sessie2_taskrobotEngagement,visible,22,1
205708,205708,33002_sessie2_taskrobotEngagement,visible,23,1
205709,205709,33002_sessie2_taskrobotEngagement,visible,24,1
205710,205710,33002_sessie2_taskrobotEngagement,visible,25,1
205711,205711,33002_sessie2_taskrobotEngagement,visible,26,1
205712,205712,33002_sessie2_taskrobotEngagement,visible,27,1
205713,205713,33002_sessie2_taskrobotEngagement,visible,28,1
205714,205714,33002_sessie2_taskrobotEngagement,visible,29,1
205715,205715,33002_sessie2_taskrobotEngagement,visible,30,1
205716,205716,33002_sessie2_taskrobotEngagement,visible,31,1
205717,205717,33002_sessie2_taskrobotEngagement,visible,32,1
205718,205718,33002_sessie2_taskrobotEngagement,visible,33,1
205719,205719,33002_sessie2_taskrobotEngagement,visible,34,1
205720,205720,33002_sessie2_taskrobotEngagement,visible,35,1
205721,205721,33002_sessie2_taskrobotEngagement,visible,36,1
205722,205722,33002_sessie2_taskrobotEngagement,visible,37,1
205723,205723,33002_sessie2_taskrobotEngagement,visible,38,1
205724,205724,33002_sessie2_taskrobotEngagement,visible,39,1
205725,205725,33002_sessie2_taskrobotEngagement,visible,40,1
205726,205726,33002_sessie2_taskrobotEngagement,visible,41,1
205727,205727,33002_sessie2_taskrobotEngagement,visible,42,1
205728,205728,33002_sessie2_taskrobotEngagement,visible,43,1
205729,205729,33002_sessie2_taskrobotEngagement,visible,44,1
205730,205730,33002_sessie2_taskrobotEngagement,visible,45,1
205731,205731,33002_sessie2_taskrobotEngagement,visible,46,1
205732,205732,33002_sessie2_taskrobotEngagement,visible,47,1
205733,205733,33002_sessie2_taskrobotEngagement,visible,48,1
205734,205734,33002_sessie2_taskrobotEngagement,visible,49,1
205735,205735,33002_sessie2_taskrobotEngagement,visible,50,1
205736,205736,33002_sessie2_taskrobotEngagement,visible,51,1
205737,205737,33002_sessie2_taskrobotEngagement,visible,52,1
205738,205738,33002_sessie2_taskrobotEngagement,visible,53,1
205739,205739,33002_sessie2_taskrobotEngagement,visible,54,1
205740,205740,33002_sessie2_taskrobotEngagement,visible,55,1
205741,205741,33002_sessie2_taskrobotEngagement,visible,56,1
205742,205742,33002_sessie2_taskrobotEngagement,visible,57,1
205743,205743,33002_sessie2_taskrobotEngagement,visible,58,1
205744,205744,33002_sessie2_taskrobotEngagement,visible,59,1
205745,205745,33002_sessie2_taskrobotEngagement,visible,60,1
205746,205746,33002_sessie2_taskrobotEngagement,visible,61,1
205747,205747,33002_sessie2_taskrobotEngagement,visible,62,1
205748,205748,33002_sessie2_taskrobotEngagement,visible,63,1
205749,205749,33002_sessie2_taskrobotEngagement,visible,64,1
205750,205750,33002_sessie2_taskrobotEngagement,visible,65,1
205751,205751,33002_sessie2_taskrobotEngagement,visible,66,1
205752,205752,33002_sessie2_taskrobotEngagement,visible,67,1
205753,205753,33002_sessie2_taskrobotEngagement,visible,68,1
205754,205754,33002_sessie2_taskrobotEngagement,visible,69,1
205755,205755,33002_sessie2_taskrobotEngagement,visible,70,1
205756,205756,33002_sessie2_taskrobotEngagement,visible,71,1
205757,205757,33002_sessie2_taskrobotEngagement,visible,72,1
205758,205758,33002_sessie2_taskrobotEngagement,visible,73,1
205759,205759,33002_sessie2_taskrobotEngagement,visible,74,1
205760,205760,33002_sessie2_taskrobotEngagement,visible,75,1
205761,205761,33002_sessie2_taskrobotEngagement,visible,76,1
205762,205762,33002_sessie2_taskrobotEngagement,visible,77,1
205763,205763,33002_sessie2_taskrobotEngagement,visible,78,1
205764,205764,33002_sessie2_taskrobotEngagement,visible,79,1
205765,205765,33002_sessie2_taskrobotEngagement,visible,80,1
205766,205766,33002_sessie2_taskrobotEngagement,visible,81,1
205767,205767,33002_sessie2_taskrobotEngagement,visible,82,1
205768,205768,33002_sessie2_taskrobotEngagement,visible,83,1
205769,205769,33002_sessie2_taskrobotEngagement,visible,84,1
205770,205770,33002_sessie2_taskrobotEngagement,visible,85,1
205771,205771,33002_sessie2_taskrobotEngagement,visible,86,1
205772,205772,33002_sessie2_taskrobotEngagement,visible,87,1
205773,205773,33002_sessie2_taskrobotEngagement,visible,88,1
205774,205774,33002_sessie2_taskrobotEngagement,visible,89,1
205775,205775,33002_sessie2_taskrobotEngagement,visible,90,1
205776,205776,33002_sessie2_taskrobotEngagement,visible,91,1
205777,205777,33002_sessie2_taskrobotEngagement,visible,92,1
205778,205778,33002_sessie2_taskrobotEngagement,visible,93,1
205779,205779,33002_sessie2_taskrobotEngagement,visible,94,1
205780,205780,33002_sessie2_taskrobotEngagement,visible,95,1
205781,205781,33002_sessie2_taskrobotEngagement,visible,96,1
205782,205782,33002_sessie2_taskrobotEngagement,visible,97,1
205783,205783,33002_sessie2_taskrobotEngagement,visible,98,1
205784,205784,33002_sessie2_taskrobotEngagement,visible,99,1
205785,205785,33002_sessie2_taskrobotEngagement,visible,100,1
205786,205786,33002_sessie2_taskrobotEngagement,visible,101,1
205787,205787,33002_sessie2_taskrobotEngagement,visible,102,1
205788,205788,33002_sessie2_taskrobotEngagement,visible,103,2
205789,205789,33002_sessie2_taskrobotEngagement,visible,104,2
205790,205790,33002_sessie2_taskrobotEngagement,visible,105,2
205791,205791,33002_sessie2_taskrobotEngagement,visible,106,2
205792,205792,33002_sessie2_taskrobotEngagement,visible,107,2
205793,205793,33002_sessie2_taskrobotEngagement,visible,108,2
205794,205794,33002_sessie2_taskrobotEngagement,visible,109,2
205795,205795,33002_sessie2_taskrobotEngagement,visible,110,2
205796,205796,33002_sessie2_taskrobotEngagement,visible,111,2
205797,205797,33002_sessie2_taskrobotEngagement,visible,112,2
205798,205798,33002_sessie2_taskrobotEngagement,visible,113,2
205799,205799,33002_sessie2_taskrobotEngagement,visible,114,2
205800,205800,33002_sessie2_taskrobotEngagement,visible,115,2
