,Unnamed: 0,file,case,framenumber,class
65761,65761,Proefpersoon22017_Sessie3,visible,0,4
65762,65762,Proefpersoon22017_Sessie3,visible,1,4
65763,65763,Proefpersoon22017_Sessie3,visible,2,4
65764,65764,Proefpersoon22017_Sessie3,visible,3,4
65765,65765,Proefpersoon22017_Sessie3,visible,4,4
65766,65766,Proefpersoon22017_Sessie3,visible,5,4
65767,65767,Proefpersoon22017_Sessie3,visible,6,4
65768,65768,Proefpersoon22017_Sessie3,visible,7,4
65769,65769,Proefpersoon22017_Sessie3,visible,8,4
65770,65770,Proefpersoon22017_Sessie3,visible,9,4
65771,65771,Proefpersoon22017_Sessie3,visible,10,4
65772,65772,Proefpersoon22017_Sessie3,visible,11,4
65773,65773,Proefpersoon22017_Sessie3,visible,12,4
65774,65774,Proefpersoon22017_Sessie3,visible,13,4
65775,65775,Proefpersoon22017_Sessie3,visible,14,4
65776,65776,Proefpersoon22017_Sessie3,visible,15,4
65777,65777,Proefpersoon22017_Sessie3,visible,16,4
65778,65778,Proefpersoon22017_Sessie3,visible,17,4
65779,65779,Proefpersoon22017_Sessie3,visible,18,4
65780,65780,Proefpersoon22017_Sessie3,visible,19,4
65781,65781,Proefpersoon22017_Sessie3,visible,20,4
65782,65782,Proefpersoon22017_Sessie3,visible,21,4
65783,65783,Proefpersoon22017_Sessie3,visible,22,4
65784,65784,Proefpersoon22017_Sessie3,visible,23,4
65785,65785,Proefpersoon22017_Sessie3,visible,24,4
65786,65786,Proefpersoon22017_Sessie3,visible,25,4
65787,65787,Proefpersoon22017_Sessie3,visible,26,4
65788,65788,Proefpersoon22017_Sessie3,visible,27,4
65789,65789,Proefpersoon22017_Sessie3,visible,28,4
65790,65790,Proefpersoon22017_Sessie3,visible,29,4
65791,65791,Proefpersoon22017_Sessie3,visible,30,4
65792,65792,Proefpersoon22017_Sessie3,visible,31,4
65793,65793,Proefpersoon22017_Sessie3,visible,32,4
65794,65794,Proefpersoon22017_Sessie3,visible,33,4
65795,65795,Proefpersoon22017_Sessie3,visible,34,4
65796,65796,Proefpersoon22017_Sessie3,visible,35,4
65797,65797,Proefpersoon22017_Sessie3,visible,36,4
65798,65798,Proefpersoon22017_Sessie3,visible,37,4
65799,65799,Proefpersoon22017_Sessie3,visible,38,4
65800,65800,Proefpersoon22017_Sessie3,visible,39,4
