,file,case,ckappa_manl2cs
0,51007_sessie1_taskrobotEngagement,invisible,0.44129042550766917
1,51007_sessie2_taskrobotEngagement,invisible,0.6376324438927983
2,51007_sessie3_taskrobotEngagement,invisible,0.3446665873704867
3,51009_sessie1_taskrobotEngagement,invisible,0.0858054356617447
4,51009_sessie2_taskrobotEngagement,invisible,0.009640975584174427
5,51009_sessie3_taskrobotEngagement,invisible,0.4185462802887391
6,51010_sessie1_taskrobotEngagement,invisible,0.17108977874352416
7,51010_sessie2_taskrobotEngagement,invisible,-0.03175383313502422
8,51010_sessie3_taskrobotEngagement,invisible,0.32215657217724236
9,51011_sessie3_robotEngagement3,invisible,0.41162570888468797
10,51011_sessie3_taskEngagement1,invisible,0.4063860903981439
11,51011_sessie3_taskrobotEngagement,invisible,0.20178843069606556
12,51013_sessie1_taskrobotEngagement,invisible,0.036553524804177506
13,51013_sessie2_taskrobotEngagement,invisible,-0.02905450106791818
14,51013_sessie3_taskrobotEngagement,invisible,0.6651962484835672
15,51014_sessie1_taskrobotEngagement,invisible,0.09029973567403127
16,51014_sessie2_taskrobotEngagement,invisible,0.03557248805469149
17,51014_sessie3_taskrobotEngagement,invisible,0.21066336963520393
18,51015_sessie1_taskrobotEngagement,invisible,-0.030723497052412396
19,51015_sessie2_taskrobotEngagement,invisible,0.3233383646178901
20,51015_sessie3_taskrobotEngagement,invisible,0.30357606743382926
21,51016_sessie1_taskrobotEngagement,invisible,0.1159227369901481
22,51016_sessie3_taskEngagement1,invisible,0.2527076810139959
23,51016_sessie3_taskrobotEngagement,invisible,0.25024448329780036
24,51017_sessie1_taskrobotEngagement,invisible,0.4123246476980168
25,51017_sessie2_taskrobotEngagement,invisible,0.11779428552189342
26,51017_sessie3_taskrobotEngagement,invisible,0.31385344654535474
27,51019_sessie1_taskrobotEngagement,invisible,0.18068081603856778
28,51019_sessie2_taskrobotEngagement,invisible,0.023550051502509217
29,51019_sessie3_taskrobotEngagement,invisible,0.07554567862063322
30,51020_sessie1_taskrobotEngagement,invisible,0.13482073764954017
31,51020_sessie2_taskrobotEngagement,invisible,0.31470980945677485
32,51020_sessie3_taskrobotEngagement,invisible,0.6936272580353876
33,51021_sessie1_taskrobotEngagement,invisible,0.23945587672494006
34,51021_sessie2_taskrobotEngagement,invisible,0.2595213117291756
35,51021_sessie3_taskrobotEngagement,invisible,0.2766760598178005
36,Proefpersoon11009_sessie1,invisible,0.29974742915680175
37,Proefpersoon11009_sessie2,invisible,0.35786433613729907
38,Proefpersoon11009_Sessie3,invisible,0.059182908644127674
39,Proefpersoon11012_sessie1,invisible,0.19658570796259456
40,Proefpersoon11012_sessie2,invisible,0.1294198637692794
41,Proefpersoon11012_Sessie3,invisible,0.06456820368888516
42,Proefpersoon11029_Sessie1,invisible,0.19970393200793213
43,Proefpersoon11029_sessie2,invisible,0.06723269626522999
44,Proefpersoon11029_sessie3,invisible,0.2791029428482952
