,file,case,ckappa_manl2cs
0,33013_sessie3_robotEngagement3,visible,0.2832417208935206
1,33013_sessie3_taskEngagement1,visible,0.2865339779962801
2,33013_sessie3_taskrobotEngagement,visible,0.190727605758411
3,Proefpersoon22016_Sessie1,visible,0.0064921151763304
4,Proefpersoon22016_Sessie2,visible,0.4539350197954706
5,Proefpersoon22016_Sessie3,visible,0.0601520452862234
6,Proefpersoon22017_Sessie1,visible,0.0718170453520293
7,Proefpersoon22017_Sessie2,visible,0.3260248042892373
8,Proefpersoon22017_Sessie3,visible,0.0642085785629329
9,Proefpersoon22018_Sessie1,visible,0.1066102770711719
10,Proefpersoon22018_Sessie2,visible,0.1021107376166845
11,Proefpersoon22018_Sessie3,visible,0.1906731683507962
12,Proefpersoon22030_Sessie1,visible,0.1012911263588179
13,Proefpersoon22030_Sessie2_Poging2,visible,0.0990842820434907
14,Proefpersoon22030_Sessie3,visible,0.0165184733593525
15,33001_sessie1_taskrobotEngagement,visible,0.3860193749064434
16,33001_sessie2_taskrobotEngagement,visible,0.2667972102378998
17,33001_sessie3_taskrobotEngagement,visible,0.1160949868073878
18,33002_sessie1_taskrobotEngagement,visible,0.0782904542871518
19,33002_sessie2_taskrobotEngagement,visible,0.100034346131804
20,33002_sessie3_taskrobotEngagement,visible,-0.090657149467165
21,33003_sessie1_taskrobotEngagement,visible,0.0955394373854154
22,33003_sessie3_robotEngagement1,visible,0.136202200402457
23,33003_sessie3_taskrobotEngagement,visible,0.2541104131918439
24,33004_sessie1_taskrobotEngagement,visible,0.2148577149197421
25,33004_sessie2_taskrobotEngagement,visible,0.1758038537254668
26,33004_sessie3_taskrobotEngagement,visible,0.3093586159068967
27,33005_sessie1_taskrobotEngagement,visible,-0.0008329269761382
28,33005_sessie2_taskrobotEngagement,visible,0.2011909222145805
29,33005_sessie3_taskrobotEngagement,visible,0.2605767317337639
30,33006_sessie1_taskrobotEngagement,visible,0.3748307452647947
31,33006_sessie2_taskrobotEngagement,visible,0.2889579635641307
32,33006_sessie3_taskrobotEngagement,visible,0.062379161300247
33,33007_sessie1_taskrobotEngagement,visible,0.3226983545013026
34,33007_sessie2_taskrobotEngagement,visible,0.5349401391404622
35,33007_sessie3_taskrobotEngagement,visible,0.395910093073497
36,33008_sessie1_taskrobotEngagement,visible,0.1076758941382879
37,33008_sessie2_taskrobotEngagement,visible,0.103046223687034
38,33008_sessie3_taskrobotEngagement,visible,0.0280006461219943
39,33010_sessie1_taskrobotEngagement,visible,-0.0056333673968862
40,33010_sessie2_taskrobotEngagement,visible,0.4344059136389178
41,33010_sessie3_taskrobotEngagement,visible,0.1399459373959291
42,33011_sessie2_robotEngagement1,visible,0.1782448837232689
43,33011_sessie2_taskrobotEngagement,visible,0.2747700929113135
44,33011_sessie3_taskrobotEngagement,visible,0.2146390513999164
0,51007_sessie1_taskrobotEngagement,invisible,0.4412904255076691
1,51007_sessie2_taskrobotEngagement,invisible,0.6376324438927983
2,51007_sessie3_taskrobotEngagement,invisible,0.3446665873704867
3,51009_sessie1_taskrobotEngagement,invisible,0.0858054356617447
4,51009_sessie2_taskrobotEngagement,invisible,0.0096409755841744
5,51009_sessie3_taskrobotEngagement,invisible,0.4185462802887391
6,51010_sessie1_taskrobotEngagement,invisible,0.1710897787435241
7,51010_sessie2_taskrobotEngagement,invisible,-0.0317538331350242
8,51010_sessie3_taskrobotEngagement,invisible,0.3221565721772423
9,51011_sessie3_robotEngagement3,invisible,0.4116257088846879
10,51011_sessie3_taskEngagement1,invisible,0.4063860903981439
11,51011_sessie3_taskrobotEngagement,invisible,0.2017884306960655
12,51013_sessie1_taskrobotEngagement,invisible,0.0365535248041775
13,51013_sessie2_taskrobotEngagement,invisible,-0.0290545010679181
14,51013_sessie3_taskrobotEngagement,invisible,0.6651962484835672
15,51014_sessie1_taskrobotEngagement,invisible,0.0902997356740312
16,51014_sessie2_taskrobotEngagement,invisible,0.0355724880546914
17,51014_sessie3_taskrobotEngagement,invisible,0.2106633696352039
18,51015_sessie1_taskrobotEngagement,invisible,-0.0307234970524123
19,51015_sessie2_taskrobotEngagement,invisible,0.3233383646178901
20,51015_sessie3_taskrobotEngagement,invisible,0.3035760674338292
21,51016_sessie1_taskrobotEngagement,invisible,0.1159227369901481
22,51016_sessie3_taskEngagement1,invisible,0.2527076810139959
23,51016_sessie3_taskrobotEngagement,invisible,0.2502444832978003
24,51017_sessie1_taskrobotEngagement,invisible,0.4123246476980168
25,51017_sessie2_taskrobotEngagement,invisible,0.1177942855218934
