,file,annotator,2ndannotator,case,ckappa_double_no4
0,33008_sessie3_taskrobotEngagement,Daen,Lin,visible,0.45096268967364694
1,33010_sessie2_taskrobotEngagement,Daen,Lin,visible,0.7054794520547945
2,33011_sessie2_taskrobotEngagement,Daen,Lin,visible,0.8960429703946478
3,51014_sessie2_taskrobotEngagement,Daen,Ronald,invisible,0.7589705567511648
4,Proefpersoon11009_sessie2,Daen,Ronald,invisible,0.9168665170743995
5,Proefpersoon11012_sessie1,Daen,Ronald,invisible,0.8165623836066054
6,Proefpersoon11029_sessie2,Daen,Ronald,invisible,0.6102798052002314
7,33001_sessie1_taskrobotEngagement,Lin,Daen,visible,0.8973950817725951
8,33002_sessie1_taskrobotEngagement,Lin,Daen,visible,0.4268302144223438
9,33003_sessie1_taskrobotEngagement,Lin,Daen,visible,0.7420783788650269
10,33004_sessie1_taskrobotEngagement,Lin,Daen,visible,0.8047740658602011
11,33005_sessie1_taskrobotEngagement,Lin,Daen,visible,0.6605646593444054
12,33006_sessie1_taskrobotEngagement,Lin,Daen,visible,0.756769865905951
13,33007_sessie1_taskrobotEngagement,Lin,Daen,visible,0.6373559145502394
14,51015_sessie1_taskrobotEngagement,Ronald,Daen,invisible,0.5932367100431422
15,51016_sessie1_taskrobotEngagement,Ronald,Daen,invisible,0.8100286690987187
16,51017_sessie1_taskrobotEngagement,Ronald,Daen,invisible,0.8582379926055919
17,51019_sessie1_taskrobotEngagement,Ronald,Daen,invisible,0.8226390846607128
18,51020_sessie1_taskrobotEngagement,Ronald,Daen,invisible,0.4793594981239937
19,51021_sessie1_taskrobotEngagement,Ronald,Daen,invisible,0.7546636893131029
20,Proefpersoon22016_Sessie1,Ronald,Lin,visible,0.5579714395478992
