yaw,pitch,class
42.0,42.0,4.0
-1.1782101631263917,-0.7610398268031476,2.0
-1.1867751555081958,-0.6807705536515052,2.0
-1.1783634280471258,-0.8122566756231154,2.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
-0.44706778166880085,-0.7991741630842101,2.0
-1.2623736435820023,-0.9462610827215044,2.0
42.0,42.0,4.0
42.0,42.0,4.0
-1.585198968286154,-0.8347039278191754,2.0
-1.3226425769471497,-0.8258939246170841,2.0
-1.570713502484995,-0.7427977059683227,2.0
-1.5295679299593798,-0.7856666100353283,2.0
-1.5116573726802698,-0.9497697974576839,2.0
-0.6257227476034584,-0.9953471363533,2.0
-0.29017643447837976,-0.9944097036495921,1.0
42.0,42.0,4.0
0.013113937839768185,-0.9588967168294944,1.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
-1.3423989711777935,-0.8711620705101422,2.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
0.5834187000036587,-1.0864291098467729,1.0
-0.7854072181451546,-1.0608286749200593,2.0
-1.3255922941705214,-0.9984108368713271,2.0
-1.2428099290562258,-1.035482571877448,2.0
-1.1688756503476094,-0.9622417803166884,2.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
-1.4726553785160594,-0.8474828399938116,2.0
-1.1264473662829577,-0.8074134508646973,2.0
-1.543050981926233,-0.7388437106978821,2.0
-1.4750947009165176,-0.6582322213461647,2.0
-1.6744417627308184,-0.6959369897433976,2.0
42.0,42.0,4.0
-1.4028057231293523,-0.9671064435218818,2.0
-1.4501415472927477,-0.9622285976692927,2.0
-1.6159014872292414,-0.7300195927420136,2.0
-1.7525336353752117,-0.8029350791756201,2.0
-1.5592825492961027,-0.8238827053618563,2.0
-1.778117825019276,-0.8360703957744948,2.0
-1.5114399255772648,-0.8066246225498159,2.0
-1.6050030331003105,-0.7783780707639995,2.0
-1.6587870360530599,-0.6626778361538339,2.0
-1.585767020546668,-0.7171690415340541,2.0
42.0,42.0,4.0
-1.593897118722462,-0.8895195062201673,2.0
-1.4164024920747518,-0.8805960523556388,2.0
-1.3124790221210256,-0.795133348762233,2.0
-1.5332625333396468,-0.7664729417430182,2.0
-1.5613660733749262,-0.9029309191536974,2.0
-1.445762910986494,-0.9791180989864662,2.0
-1.5818099626409738,-0.794965835929667,2.0
-1.678835978529449,-0.7436613691098355,2.0
-1.8361700762510957,-0.8660999339101194,2.0
-1.4940719873702588,-0.8602100868433001,2.0
-1.5296829785184713,-0.8379790833277547,2.0
-1.1507264738348284,-0.9842390914465795,2.0
42.0,42.0,4.0
-1.4793456386485022,-0.9484818927545215,2.0
-1.2616147758293843,-0.9015372869552588,2.0
-1.4658414145509826,-0.7603042617100676,2.0
-1.493282759581214,-0.7454073375204914,2.0
-1.488829288448329,-0.8259330730851084,2.0
-1.5749228949039744,-0.8393839008027715,2.0
-1.3935750736330832,-0.7513296751526095,2.0
-1.4098503168448298,-0.8479331805341439,2.0
-1.507444384993819,-0.7372314329739481,2.0
-1.3044000566381615,-0.7779924450381559,2.0
-1.4328954487056125,-0.7543526293059586,2.0
-1.0146912732471995,-0.7806353661039506,2.0
-0.9268370509949025,-0.8977476087240761,2.0
-1.144165909647473,-0.9955233044594087,2.0
-1.1319619739521847,-0.7424970350812528,2.0
-1.403014914432978,-0.8550494132829447,2.0
-1.5363043959367353,-0.6890172982830447,2.0
-1.0894505992615224,-0.91912533542636,2.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
42.0,42.0,4.0
-1.345528318616691,-0.9264642084422915,2.0
-0.9583101555994045,-0.9800187800671308,2.0
-1.0131058934502752,-0.986709439673737,2.0
42.0,42.0,4.0
-0.6073320223798072,-1.0534791492597677,2.0
-1.1838512709473976,-0.9091347529130369,2.0
42.0,42.0,4.0
42.0,42.0,4.0
