yaw,pitch,m2_class,m2prop_class,flt_m2_class,flt_prop_class,face
-0.5784152049117368,0.07295910381585012,3.0,3.0,3.0,3.0,1.0
-0.7689928455561553,0.09692922619882016,3.0,3.0,3.0,3.0,1.0
-0.9545518321658375,0.09086415918743791,3.0,3.0,3.0,3.0,1.0
-1.053174983799783,0.029075658858314292,3.0,3.0,3.0,3.0,1.0
-1.1840229360788974,0.020413785749094443,3.0,3.0,3.0,3.0,1.0
-0.9886734997030294,0.06153749828577259,3.0,3.0,3.0,3.0,1.0
-1.1650522405880466,0.07770677474564011,3.0,3.0,3.0,3.0,1.0
-1.2482259886739149,0.07659310456297544,3.0,3.0,3.0,3.0,1.0
-1.3675207797337172,0.09345487061241761,3.0,3.0,3.0,3.0,1.0
-0.8714097606390532,0.09733229818569607,3.0,3.0,3.0,3.0,1.0
-0.583973054139665,0.09819427682650221,3.0,3.0,3.0,3.0,1.0
-0.3123481000679801,0.10521842624331461,3.0,3.0,3.0,3.0,1.0
-0.1724868865663594,0.08421778719314765,3.0,3.0,3.0,3.0,1.0
-0.12881474473700055,0.04403321115447307,2.0,2.0,3.0,3.0,1.0
-0.448641554874562,0.028390339676756988,3.0,3.0,3.0,3.0,1.0
-0.7086545459129376,0.01693933092070434,3.0,3.0,3.0,3.0,1.0
-0.93893110192741,0.024682418379618,3.0,3.0,3.0,3.0,1.0
-0.5178972972722033,-0.015369085411229909,3.0,3.0,3.0,3.0,1.0
-0.8296590229931897,-0.023382273574641455,3.0,3.0,3.0,3.0,1.0
-1.0035411834319294,-0.023902651215513826,3.0,3.0,3.0,3.0,1.0
-1.1745999762313268,-0.03460726384651265,3.0,3.0,3.0,3.0,1.0
-1.3458788181962236,-0.029446341849073868,3.0,3.0,3.0,3.0,1.0
-1.4820202333730745,-0.017853332322378384,3.0,3.0,3.0,3.0,1.0
-1.600680337594263,-0.012176988418491427,3.0,3.0,3.0,3.0,1.0
-1.6518076069332666,-0.0007381134707367329,3.0,3.0,3.0,3.0,1.0
-1.7061340546320625,0.003658640574978559,3.0,3.0,3.0,3.0,1.0
-1.7647916017111864,0.0037593109377622746,3.0,3.0,3.0,3.0,1.0
-1.8072453409437115,0.004178709257203691,3.0,3.0,3.0,3.0,1.0
-1.7924448805884445,-0.004511203981639437,3.0,3.0,3.0,3.0,1.0
-1.8156210815493141,0.005144016413282327,3.0,3.0,3.0,3.0,1.0
-1.8176299421745257,0.008958549802931527,3.0,3.0,3.0,3.0,1.0
-1.772425699022179,0.014990786471775583,3.0,3.0,3.0,3.0,1.0
-1.6682795322812674,0.006649737310005526,3.0,3.0,3.0,3.0,1.0
-1.5543560517089714,-0.04196321519774796,3.0,3.0,3.0,3.0,1.0
-1.4424658251769635,-0.08886707530282961,3.0,3.0,3.0,3.0,1.0
-1.3724318336349706,-0.18179638063315195,0.0,0.0,3.0,3.0,1.0
-1.3040437952378374,-0.28347115051843597,1.0,1.0,3.0,3.0,1.0
-1.188905306765398,-0.3942813442747426,1.0,1.0,3.0,3.0,1.0
-1.0504513601365706,-0.4882601326338961,1.0,1.0,0.0,0.0,1.0
-0.9302297223513387,-0.55563503929937,1.0,1.0,0.0,0.0,1.0
-0.8422838185735182,-0.6126339246165441,1.0,1.0,1.0,1.0,1.0
-0.7444085991563115,-0.6472326856304815,1.0,1.0,1.0,1.0,1.0
-0.6656414654516504,-0.68144315014588,1.0,1.0,1.0,1.0,1.0
-0.5996958314244858,-0.7131410226494738,1.0,1.0,1.0,1.0,1.0
-0.5596059044145828,-0.7188645262374097,1.0,1.0,1.0,1.0,1.0
-0.5191422357241512,-0.7183311783258958,1.0,1.0,1.0,1.0,1.0
-0.4998373550243195,-0.7328923445231023,1.0,1.0,1.0,1.0,1.0
-0.4875924928419117,-0.7489521113999078,1.0,1.0,1.0,1.0,1.0
-0.47257462356922225,-0.7537389623781496,1.0,1.0,1.0,1.0,1.0
-0.4621760679882547,-0.7640654909569355,1.0,1.0,1.0,1.0,1.0
-0.4553288863436233,-0.757188400704863,1.0,1.0,1.0,1.0,1.0
-0.46091737430748125,-0.7553819177799859,1.0,1.0,1.0,1.0,1.0
-0.4502416490301368,-0.7467309632149867,1.0,1.0,1.0,1.0,1.0
-0.4463267133062481,-0.7506066546230246,1.0,1.0,1.0,1.0,1.0
-0.4410950752605248,-0.7544870878430051,1.0,1.0,1.0,1.0,1.0
-0.4232377349459458,-0.7932290838103726,1.0,1.0,1.0,1.0,1.0
-0.38512109831179475,-0.805732539556503,1.0,1.0,1.0,1.0,1.0
-0.35200638628050546,-0.8370691685926352,1.0,1.0,1.0,1.0,1.0
-0.3435462945011894,-0.875775640920623,1.0,1.0,1.0,1.0,1.0
-0.3189817003564655,-0.9027956652072784,1.0,1.0,1.0,1.0,1.0
-0.2965399909563103,-0.8862837399420291,1.0,1.0,1.0,1.0,1.0
-0.2596226261562819,-0.8832493925699488,1.0,1.0,1.0,1.0,1.0
-0.28953533680008936,-0.9001084740234357,1.0,1.0,1.0,1.0,1.0
-0.29604353156958857,-0.9081241415685926,1.0,1.0,1.0,1.0,1.0
-0.32992381020986167,-0.9121989261682325,1.0,1.0,1.0,1.0,1.0
-0.39330449496348413,-0.9448964843261377,1.0,1.0,1.0,1.0,1.0
-0.3847684624245421,-0.9861686624605435,1.0,1.0,1.0,1.0,1.0
-0.40759185786577395,-1.0323475872855725,1.0,1.0,1.0,1.0,1.0
-0.4561800908195712,-1.0667008562487132,1.0,1.0,1.0,1.0,1.0
-0.42544800335539157,-1.1133468862015523,1.0,1.0,1.0,1.0,1.0
-0.4290699497547286,-1.1419267574704322,1.0,1.0,1.0,1.0,1.0
-0.42507178386365596,-1.166570391778814,1.0,1.0,1.0,1.0,1.0
-0.42187932315808324,-1.1818636794992714,1.0,1.0,1.0,1.0,1.0
-0.41834403299515266,-1.2040305955926989,1.0,1.0,1.0,1.0,1.0
-0.34612788434789854,-1.21665267012403,3.0,3.0,1.0,1.0,1.0
-0.27834813763412264,-1.220495709507767,2.0,2.0,1.0,1.0,1.0
-0.28082442471465596,-1.2244926333847495,1.0,1.0,1.0,1.0,1.0
-0.4129949897423769,-1.227261270392778,1.0,1.0,1.0,1.0,1.0
-0.5290310574907697,-1.217155704374611,1.0,1.0,1.0,1.0,1.0
-0.6318020246709677,-1.2071599274773384,1.0,1.0,1.0,1.0,1.0
-0.6846569680280062,-1.1820867708389904,1.0,1.0,1.0,1.0,1.0
-0.6507670054230968,-1.113736932429018,1.0,1.0,1.0,1.0,1.0
-0.6266188140530967,-1.0433657165582932,1.0,1.0,1.0,1.0,1.0
-0.5907118033695457,-0.9762138057849942,1.0,1.0,1.0,1.0,1.0
-0.5546288927320301,-0.9102000843125415,1.0,1.0,1.0,1.0,1.0
-0.5350971036324107,-0.858338683852858,1.0,1.0,1.0,1.0,1.0
-0.5154768241911528,-0.8134767232277477,1.0,1.0,1.0,1.0,1.0
-0.4959654625869426,-0.7950514727345157,1.0,1.0,1.0,1.0,1.0
-0.49540648251905195,-0.7657724900537477,1.0,1.0,1.0,1.0,1.0
-0.47206399604688465,-0.7456206244657431,1.0,1.0,1.0,1.0,1.0
-0.4516215613788946,-0.7251026791413929,1.0,1.0,1.0,1.0,1.0
-0.44068842478013703,-0.7162683185029399,1.0,1.0,1.0,1.0,1.0
-0.4485908268454267,-0.6995806931864843,1.0,1.0,1.0,1.0,1.0
-0.43693316208309374,-0.6933995562717041,1.0,1.0,1.0,1.0,1.0
-0.4573116094926404,-0.7105882318227503,1.0,1.0,1.0,1.0,1.0
-0.47973958466423816,-0.7318686210871247,1.0,1.0,1.0,1.0,1.0
-0.49232938385300967,-0.7234809428506445,1.0,1.0,1.0,1.0,1.0
-0.5033634233058726,-0.7217706721551969,1.0,1.0,1.0,1.0,1.0
-0.5121615198858374,-0.7194594302568418,1.0,1.0,1.0,1.0,1.0
-0.5101067933973991,-0.7236647073706785,1.0,1.0,1.0,1.0,1.0
-0.515042937575129,-0.7229196714997554,1.0,1.0,1.0,1.0,1.0
-0.5104675003737437,-0.7278158266558657,1.0,1.0,1.0,1.0,1.0
-0.4920028511657722,-0.7254198339431647,1.0,1.0,1.0,1.0,1.0
-0.48248549536689955,-0.7310689739034754,1.0,1.0,1.0,1.0,1.0
-0.4799194727843812,-0.7407892264277615,1.0,1.0,1.0,1.0,1.0
-0.48853538457166756,-0.717068808130263,1.0,1.0,1.0,1.0,1.0
-0.5022226368906159,-0.5912495930883714,3.0,3.0,0.0,1.0,1.0
-0.532846488035513,-0.4948683815515482,3.0,3.0,0.0,0.0,1.0
-0.5484663235609976,-0.37697624801597723,3.0,3.0,0.0,0.0,1.0
-0.5384473487568591,-0.2865611427072875,3.0,3.0,3.0,3.0,1.0
-0.5019976512179941,-0.20112401557860837,3.0,3.0,3.0,3.0,1.0
-0.4693839863059565,-0.12978970924201327,3.0,3.0,3.0,3.0,1.0
-0.42869062254009116,-0.07014927771716803,3.0,3.0,3.0,3.0,1.0
-0.39558955739815826,-0.017901249581556075,3.0,3.0,3.0,3.0,1.0
-0.3911926490447632,0.020076388974218602,3.0,3.0,3.0,3.0,1.0
-0.364989304195538,0.04697945269720241,3.0,3.0,3.0,3.0,1.0
-0.35441396856868107,0.06319209309418948,3.0,3.0,3.0,3.0,1.0
-0.33932876727629263,0.08860284286475349,3.0,3.0,3.0,3.0,1.0
-0.3386584563389248,0.10321390213691357,3.0,3.0,3.0,3.0,1.0
-0.34396752660242363,0.10770848618590159,3.0,3.0,3.0,3.0,1.0
-0.3563503138376404,0.1049554969656739,3.0,3.0,3.0,3.0,1.0
-0.36694710129647135,0.10992105692666182,3.0,3.0,3.0,3.0,1.0
-0.378467618914726,0.1171012291652308,3.0,3.0,3.0,3.0,1.0
-0.38573108371875287,0.126683301666221,3.0,3.0,3.0,3.0,1.0
-0.38778072641767725,0.1324022954366088,3.0,3.0,3.0,3.0,1.0
-0.375858878621028,0.13289779397902668,3.0,3.0,3.0,3.0,1.0
-0.3728286214544301,0.1316115543730271,3.0,3.0,3.0,3.0,1.0
-0.3733057699391277,0.1254126745905002,3.0,3.0,3.0,3.0,1.0
-0.3852621727198099,0.11767349690254499,3.0,3.0,3.0,3.0,1.0
-0.3973668320966334,0.11664037820433348,3.0,3.0,3.0,3.0,1.0
-0.4046179217319703,0.11417955454800446,3.0,3.0,3.0,3.0,1.0
-0.41081789476119907,0.11502122299485826,3.0,3.0,3.0,3.0,1.0
-0.4209342324239717,0.1155028634170774,3.0,3.0,3.0,3.0,1.0
-0.43149243098561074,0.1172728064688067,3.0,3.0,3.0,3.0,1.0
-0.4426880645017672,0.1271642178161455,3.0,3.0,3.0,3.0,1.0
-0.45031203203166026,0.13552353290304844,3.0,3.0,3.0,3.0,1.0
-0.4597242317148551,0.14064797572880328,3.0,3.0,3.0,3.0,1.0
-0.46739423352441456,0.14244943502155596,3.0,3.0,3.0,3.0,1.0
-0.48107278654816277,0.1279791204173053,3.0,3.0,3.0,3.0,1.0
