yaw,pitch,m2_class,m2prop_class,flt_m2_class,flt_prop_class,face
-0.729895291322013,-0.4960065884743744,1.0,1.0,0.0,0.0,1.0
-1.006401106512121,-0.669161579162284,1.0,1.0,0.0,0.0,1.0
-1.0747974487657643,-0.6515992422432408,0.0,0.0,0.0,0.0,1.0
-1.0421896798556238,-0.6692594482740797,0.0,0.0,0.0,0.0,1.0
-1.0217989153501374,-0.6528764251590305,0.0,0.0,0.0,0.0,1.0
-1.0345427146454222,-0.6891331648791003,1.0,1.0,0.0,0.0,1.0
-1.0822236005169954,-0.6730766503237262,0.0,0.0,0.0,0.0,1.0
-1.0729368373500061,-0.6421837620031168,0.0,0.0,0.0,0.0,1.0
-1.0727253058815271,-0.613514379433139,0.0,0.0,0.0,0.0,1.0
-1.0561884336133385,-0.5981696947173576,0.0,0.0,0.0,0.0,1.0
-1.068136374710214,-0.5775820796338333,0.0,0.0,0.0,0.0,1.0
-1.0681235072128588,-0.5569195204001488,0.0,0.0,0.0,0.0,1.0
-1.0786640355976094,-0.5396950313527906,0.0,0.0,0.0,0.0,1.0
-1.095022074871322,-0.5334783073231485,0.0,0.0,0.0,0.0,1.0
-1.0991481327374657,-0.5114364422012491,0.0,0.0,0.0,0.0,1.0
-1.1179082630884294,-0.5610994900765022,0.0,0.0,0.0,0.0,1.0
-1.1368802638476039,-0.561693713335183,0.0,0.0,0.0,0.0,1.0
-1.182819717122586,-0.6062151860006177,0.0,0.0,0.0,0.0,1.0
-1.215293703283056,-0.6461480528441618,0.0,0.0,0.0,0.0,1.0
-1.2418315725014955,-0.6812309041837702,1.0,1.0,0.0,0.0,1.0
-1.2663517790818812,-0.6865544383559051,0.0,0.0,0.0,0.0,1.0
-1.3000225729382087,-0.6963185058918853,0.0,0.0,0.0,0.0,1.0
-0.7867611589556106,-0.6945871209616487,2.0,2.0,1.0,1.0,1.0
-0.6034036626388475,-0.6955502399514611,2.0,2.0,1.0,1.0,1.0
-0.3010493421150483,-0.6662795390173024,3.0,3.0,1.0,1.0,1.0
-0.06546055920971253,-0.6377218652034081,3.0,3.0,1.0,1.0,1.0
0.08306120225287103,-0.6107355113230108,2.0,2.0,2.0,2.0,1.0
0.20622611455520556,-0.5764421269701593,3.0,3.0,2.0,2.0,1.0
0.32634537880639125,-0.5519864253921035,3.0,3.0,2.0,2.0,1.0
0.37314179887978566,-0.5537456701332305,2.0,2.0,2.0,2.0,1.0
0.40950914448522896,-0.5522559667796373,2.0,2.0,2.0,2.0,1.0
0.445525782889016,-0.535906650288706,2.0,2.0,2.0,2.0,1.0
0.4802699409035424,-0.5198014254532072,2.0,2.0,2.0,2.0,1.0
0.519661038028611,-0.49912920548260575,3.0,3.0,2.0,2.0,1.0
0.5380126166490721,-0.4939604706285783,2.0,2.0,2.0,2.0,1.0
0.5822765948775357,-0.48966388270357936,3.0,3.0,2.0,2.0,1.0
0.6195720141018778,-0.4849941016094384,3.0,3.0,2.0,2.0,1.0
0.68821087352373,-0.48733230862040355,3.0,3.0,2.0,2.0,1.0
0.7616993725351917,-0.49980598414385696,3.0,3.0,2.0,2.0,1.0
0.833471429803223,-0.5340248041263701,2.0,2.0,2.0,2.0,1.0
0.897573289592136,-0.5757394910208824,2.0,2.0,2.0,2.0,1.0
0.4552953880037325,-0.6303603364480939,1.0,1.0,2.0,2.0,1.0
0.09891923063788843,-0.6774161108806266,1.0,1.0,1.0,1.0,1.0
-0.1861431581537239,-0.7265016437337024,1.0,1.0,1.0,1.0,1.0
-0.41858813661539895,-0.7813315327328109,1.0,1.0,1.0,1.0,1.0
-0.5973579783348739,-0.8114194441481529,1.0,1.0,1.0,1.0,1.0
-0.7303913384115333,-0.8546035467357506,1.0,1.0,1.0,1.0,1.0
-0.8576955049382914,-0.895435702538059,1.0,1.0,1.0,1.0,1.0
-0.963783836999907,-0.9094845729252934,1.0,1.0,1.0,1.0,1.0
-1.0378768228488133,-0.9153796103973526,1.0,1.0,1.0,1.0,1.0
-1.1115176073888509,-0.9119342234224107,1.0,1.0,1.0,1.0,1.0
-1.1647531212545086,-0.9138272338427809,1.0,1.0,1.0,1.0,1.0
-1.2179097278668767,-0.9262758625621779,1.0,1.0,1.0,1.0,1.0
-1.2561157653406188,-0.9358784612149691,1.0,1.0,1.0,1.0,1.0
-1.2879119877435645,-0.9232168922537135,1.0,1.0,1.0,1.0,1.0
-1.3004178538342377,-0.920659137222206,1.0,1.0,1.0,1.0,1.0
-1.3333078889023262,-0.9095202887083267,1.0,1.0,1.0,1.0,1.0
-1.3615168866010692,-0.9285853443062541,1.0,1.0,1.0,1.0,1.0
-1.3925246808872807,-0.9349421111642767,1.0,1.0,1.0,1.0,1.0
-1.4159701475255784,-0.9168346406125397,1.0,1.0,1.0,1.0,1.0
-1.4681363560802905,-0.9226150803822287,1.0,1.0,1.0,1.0,1.0
-1.461455051677115,-0.8943575686399963,0.0,0.0,1.0,1.0,1.0
-1.4676492454734045,-0.8819835306807665,0.0,0.0,1.0,1.0,1.0
-1.5086669175686023,-0.903787715088978,1.0,1.0,1.0,1.0,1.0
-1.5402843904405326,-0.9205275353503747,1.0,1.0,1.0,1.0,1.0
-1.53009656753433,-0.9111925607121873,1.0,1.0,1.0,1.0,1.0
-1.519467438866723,-0.9019691850007235,1.0,1.0,1.0,1.0,1.0
-1.509643128137126,-0.8722062958901042,0.0,0.0,1.0,1.0,1.0
-1.4788865928176624,-0.8677323450651279,1.0,1.0,1.0,1.0,1.0
-1.4741376805968367,-0.8653177314866167,1.0,1.0,1.0,1.0,1.0
-1.4672688315580855,-0.8806200750912054,1.0,1.0,1.0,1.0,1.0
-1.4329156588601528,-0.8881984619584274,1.0,1.0,1.0,1.0,1.0
-1.4505110369982008,-0.8814580777748707,1.0,1.0,1.0,1.0,1.0
-1.4465204280419306,-0.8937319826771206,1.0,1.0,1.0,1.0,1.0
-1.4222837484695519,-0.903769459176696,1.0,1.0,1.0,1.0,1.0
-1.4176888771940899,-0.9167163814337479,1.0,1.0,1.0,1.0,1.0
-1.4050184998029194,-0.9364806303153237,1.0,1.0,1.0,1.0,1.0
-1.378414541289478,-0.9276765912546473,1.0,1.0,1.0,1.0,1.0
-1.5147596716059926,-0.93818127463958,1.0,1.0,1.0,1.0,1.0
