yaw,pitch,pred_class,filtered_class,base_face,l2cs_face
-0.9753958117218923,-0.47817814424628946,3.0,0.0,1.0,1.0
-1.334102636657263,-0.6640006345041876,3.0,0.0,1.0,1.0
-1.4462469993797584,-0.7668602552778923,3.0,0.0,1.0,1.0
-1.5327112676043915,-0.8324084325782352,3.0,0.0,1.0,1.0
-1.5795116502526054,-0.8728320679518042,3.0,0.0,1.0,1.0
-1.613167524521362,-0.9021640995139829,3.0,0.0,1.0,1.0
-1.6826529869720317,-0.9275814296582539,3.0,3.0,1.0,1.0
-1.7437512385498162,-0.9462448452353269,3.0,3.0,1.0,1.0
-1.7929493494506143,-0.9627490840293416,3.0,3.0,1.0,1.0
-1.8727428915581177,-0.9727089718819062,3.0,3.0,1.0,1.0
-1.9020714993478143,-0.9885768970487254,3.0,3.0,1.0,1.0
-1.9409064507316118,-0.992190188561923,3.0,3.0,1.0,1.0
-1.7440951952213362,-0.9454429570238505,0.0,3.0,1.0,1.0
-1.614277440306257,-0.9094906451456718,0.0,0.0,1.0,1.0
-1.524916421919999,-0.8835104430433618,0.0,0.0,1.0,1.0
-1.4651088739676164,-0.8604826063120844,0.0,0.0,1.0,1.0
-1.3943305083107032,-0.854228279187738,0.0,0.0,1.0,1.0
-1.3486633320656414,-0.8586476922162293,0.0,0.0,1.0,1.0
-1.3186589222321285,-0.8552674331879396,0.0,0.0,1.0,1.0
-1.3955787516404383,-0.8448575063261621,0.0,0.0,1.0,1.0
-1.4708826141330276,-0.844328269282573,0.0,0.0,1.0,1.0
-1.4735369880759663,-0.8374068746903286,0.0,0.0,1.0,1.0
-1.5124056765194531,-0.8384796821328796,0.0,0.0,1.0,1.0
-1.5648371546491744,-0.8504401247112147,0.0,0.0,1.0,1.0
-1.48327693229225,-0.8107847656859396,0.0,0.0,1.0,1.0
-1.553683834442007,-0.779396279109678,0.0,0.0,1.0,1.0
-1.6440505680614426,-0.7545146718465009,0.0,0.0,1.0,1.0
-1.7070165574375111,-0.7513034969605441,0.0,0.0,1.0,1.0
-1.7050002032569267,-0.7428747386795134,0.0,0.0,1.0,1.0
-1.8329445503423283,-0.7246210059722494,0.0,0.0,1.0,1.0
-1.758197190549454,-0.7245626479835461,0.0,0.0,1.0,1.0
-1.802290960161448,-0.7234707764866476,0.0,0.0,1.0,1.0
-1.7714500146147616,-0.7254258780640902,0.0,0.0,1.0,1.0
-1.8122431170383255,-0.7402019058335596,0.0,0.0,1.0,1.0
-1.8098011418411575,-0.7592218374072283,0.0,0.0,1.0,1.0
-1.7829220215425794,-0.7619550099124058,0.0,0.0,1.0,1.0
-1.5581505405192717,-0.7306517078607098,0.0,0.0,1.0,1.0
-1.3812140546133826,-0.7030853495698133,0.0,0.0,1.0,1.0
-1.24356720135248,-0.6712416310048029,0.0,0.0,1.0,1.0
-1.1337143863699697,-0.6457653784532065,0.0,0.0,1.0,1.0
-1.0479139820691288,-0.6273186306594626,0.0,0.0,1.0,1.0
-0.9773693925845508,-0.621525752473009,0.0,0.0,1.0,1.0
-0.9431375607761671,-0.6339549623299129,0.0,0.0,1.0,1.0
-0.8720153735143655,-0.6130017731829872,0.0,0.0,1.0,1.0
-0.8222380644158511,-0.5995046302570038,0.0,0.0,1.0,1.0
-0.8134288879412612,-0.6101839785827055,0.0,0.0,1.0,1.0
-0.8223013911511952,-0.6100801731649915,0.0,0.0,1.0,1.0
-0.8586260154338043,-0.6001815159941426,0.0,0.0,1.0,1.0
-0.8438294437859439,-0.5941148720631437,0.0,0.0,1.0,1.0
-0.9133318906150134,-0.6047853359712143,0.0,0.0,1.0,1.0
-0.9924198928835852,-0.608748420344957,0.0,0.0,1.0,1.0
-1.0302409941532877,-0.6141605770598207,0.0,0.0,1.0,1.0
-1.1040550199576962,-0.6289478968742781,0.0,0.0,1.0,1.0
-1.157542604133284,-0.6285371186695773,0.0,0.0,1.0,1.0
-1.174960602608431,-0.6113719384305935,0.0,0.0,1.0,1.0
-1.1994134224298698,-0.6033336859135963,0.0,0.0,1.0,1.0
-1.2164618140073786,-0.5981749031102722,0.0,0.0,1.0,1.0
-1.2182678362298496,-0.6065178623559354,0.0,0.0,1.0,1.0
-1.2017477682423765,-0.6127421555282067,0.0,0.0,1.0,1.0
-1.1988181735629067,-0.6127122905819952,0.0,0.0,1.0,1.0
-1.1188841516712578,-0.5936149986875027,0.0,0.0,1.0,1.0
-1.0540968666237673,-0.5730326276494798,0.0,0.0,1.0,1.0
-1.0080728362886402,-0.556831076188877,0.0,0.0,1.0,1.0
-0.9700268534960237,-0.5437539342497614,0.0,0.0,1.0,1.0
-0.9407289947337247,-0.5302241525962565,0.0,0.0,1.0,1.0
-0.9148953008498075,-0.4994579378722755,0.0,0.0,1.0,1.0
-0.8802091994483885,-0.5091890915107611,0.0,0.0,1.0,1.0
-0.8973384442786758,-0.495758101387096,0.0,0.0,1.0,1.0
-0.9887736800395354,-0.5072845797993933,0.0,0.0,1.0,1.0
-1.0280039555314133,-0.5032585068452928,0.0,0.0,1.0,1.0
-1.0700291556396577,-0.4965485878746778,0.0,0.0,1.0,1.0
-1.0627037465985016,-0.4658947370962101,0.0,0.0,1.0,1.0
-1.1063722767918203,-0.47245484766273993,0.0,0.0,1.0,1.0
-1.0297078947305327,-0.46217526885381305,0.0,0.0,1.0,1.0
-0.967994118938633,-0.4307116903437604,0.0,0.0,1.0,1.0
-0.9494370971714317,-0.3843103736417156,1.0,0.0,1.0,1.0
-0.9374577867757011,-0.3206021841694917,1.0,0.0,1.0,1.0
-0.9665677521478196,-0.2818865997118516,1.0,1.0,1.0,1.0
-0.9462074462854972,-0.23983191990159278,1.0,1.0,1.0,1.0
-0.999780841207252,-0.2082970800573977,1.0,1.0,1.0,1.0
-0.9971242965340494,-0.1711842659221232,1.0,1.0,1.0,1.0
-1.0350745219318869,-0.1464670418438522,1.0,1.0,1.0,1.0
-1.0770685350508917,-0.12931381309387338,1.0,1.0,1.0,1.0
-1.077603237142241,-0.10646356503697453,1.0,1.0,1.0,1.0
-1.1274483763183327,-0.08716811632069545,1.0,1.0,1.0,1.0
-1.2285084831749047,-0.0704351174761344,1.0,1.0,1.0,1.0
-1.212173399635761,-0.05908230820887007,1.0,1.0,1.0,1.0
-1.2398429889458942,-0.05624927481937314,1.0,1.0,1.0,1.0
-1.3283039150257079,-0.046048652061767927,1.0,1.0,1.0,1.0
-1.4387154865068752,-0.029566893976843967,1.0,1.0,1.0,1.0
-1.3750934271654303,-0.0117130726444395,3.0,1.0,1.0,1.0
-1.3375247411584557,0.011518631789924728,3.0,1.0,1.0,1.0
-1.416329085176122,0.02463013403286724,3.0,1.0,1.0,1.0
-1.4320033668184011,0.016949226868272223,1.0,1.0,1.0,1.0
-1.3878661967614851,0.026281195495482697,3.0,1.0,1.0,1.0
-1.4164511813787988,0.043487761453212107,3.0,1.0,1.0,1.0
-1.5120716966791543,0.030052072740766104,1.0,1.0,1.0,1.0
-1.6812605758189152,0.014098479946693034,1.0,1.0,1.0,1.0
-1.8089028930393807,-0.021478363766729222,1.0,1.0,1.0,1.0
-1.813248108457309,-0.029707697409691442,1.0,1.0,1.0,1.0
-2.0002126177886943,-0.035743671667162726,1.0,1.0,1.0,1.0
-2.1602515136022498,-0.007657804002188819,3.0,1.0,1.0,1.0
-2.290432866517224,0.02937060486214071,3.0,1.0,1.0,1.0
-2.4077714086791215,0.052517802499854854,3.0,3.0,1.0,1.0
-2.501387005049766,0.07207046500963096,3.0,3.0,1.0,1.0
-2.536236032206185,0.08442241928032436,3.0,3.0,1.0,1.0
-2.5574666190067155,0.09012644168453718,3.0,3.0,1.0,1.0
-2.4659087916884457,0.09412336503371298,3.0,3.0,1.0,1.0
-2.4998875738541493,0.08795914679631987,3.0,3.0,1.0,1.0
-2.48313983992987,0.06755576501103744,1.0,3.0,1.0,1.0
-2.4493779513048213,0.0460037297295537,1.0,3.0,1.0,1.0
-2.3864858600886034,0.049417738708686695,3.0,3.0,1.0,1.0
-2.4069702474297356,0.0574158795798428,3.0,3.0,1.0,1.0
-2.420629934661295,0.06451853206898464,3.0,3.0,1.0,1.0
